LEE Seung-Hoon POSITION,LEE Seung-Hoon LAP TIME,LEE Seung-Hoon ELAPSED TIME,Tomas GRESCHNER POSITION,Tomas GRESCHNER LAP TIME,Tomas GRESCHNER ELAPSED TIME,Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME,Tyson HEUNG POSITION,Tyson HEUNG LAP TIME,Tyson HEUNG ELAPSED TIME
1,12.028,12.028,3,12.237,12.237,2,12.092,12.092,5,12.298,12.298,6,12.413,12.413,4,12.262,12.262
1,9.367,21.396,5,9.484,21.721,3,9.385,21.477,4,9.421,21.719,6,9.341,21.754,2,9.160,21.422
3,9.573,30.969,6,9.614,31.335,2,9.491,30.968,4,9.466,31.185,5,9.474,31.228,1,9.407,30.829
1,9.115,40.084,4,9.372,40.707,3,9.527,40.495,6,9.640,40.825,5,9.554,40.782,2,9.645,40.474
1,9.369,49.453,6,9.319,50.026,3,9.250,49.745,5,9.197,50.022,4,9.194,49.976,2,9.218,49.692
1,9.278,58.731,6,9.431,59.458,2,9.201,58.946,4,9.132,59.154,3,9.040,59.016,5,9.542,59.234
2,9.471,1:08.202,6,9.476,1:08.934,1,9.183,1:08.129,3,9.245,1:08.399,4,9.434,1:08.451,5,9.599,1:08.833
1,9.302,1:17.503,6,9.774,1:18.707,4,9.790,1:17.918,2,9.299,1:17.698,3,9.250,1:17.701,5,9.823,1:18.656
6,33.584,1:51.087,5,10.306,1:29.013,3,9.649,1:27.567,1,9.214,1:26.912,2,9.569,1:27.270,4,10.051,1:28.707
