Junji ITO POSITION,Junji ITO LAP TIME,Junji ITO ELAPSED TIME,Benoit ANTERIEUX POSITION,Benoit ANTERIEUX LAP TIME,Benoit ANTERIEUX ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,SONG Kyung-Taek POSITION,SONG Kyung-Taek LAP TIME,SONG Kyung-Taek ELAPSED TIME
1,12.720,12.720,2,12.860,12.860,3,13.080,13.080,4,13.140,13.140
1,10.120,22.840,2,10.170,23.030,4,10.230,23.320,3,10.090,23.230
1,10.520,33.360,3,10.710,33.750,2,10.420,33.740,4,10.660,33.890
1,10.100,43.470,2,9.830,43.580,3,9.910,43.650,4,9.930,43.830
1,9.730,53.200,2,9.720,53.310,4,9.900,53.560,3,9.630,53.460
1,9.260,1:02.470,2,9.460,1:02.780,4,9.610,1:03.170,3,9.540,1:03.010
1,9.500,1:11.970,3,9.490,1:12.280,4,9.300,1:12.470,2,9.170,1:12.190
2,9.650,1:21.630,4,9.710,1:21.990,3,9.240,1:21.720,1,9.280,1:21.480
2,9.800,1:31.430,3,9.930,1:31.920,4,10.800,1:32.520,1,9.330,1:30.810
