CHOI Min Jeong POSITION,CHOI Min Jeong LAP TIME,CHOI Min Jeong ELAPSED TIME,MASCITTO Cynthia POSITION,MASCITTO Cynthia LAP TIME,MASCITTO Cynthia ELAPSED TIME,NOH Ah Rum POSITION,NOH Ah Rum LAP TIME,NOH Ah Rum ELAPSED TIME,BOTTER GOMEZ Nicole POSITION,BOTTER GOMEZ Nicole LAP TIME,BOTTER GOMEZ Nicole ELAPSED TIME,Hitomi SAITO POSITION,Hitomi SAITO LAP TIME,Hitomi SAITO ELAPSED TIME
3,13.56,13.56,4,13.66,13.66,2,13.48,13.48,1,13.34,13.34,5,13.77,13.77
1,10.60,24.16,4,10.66,24.32,5,10.86,24.34,3,10.92,24.26,1,10.39,24.16
2,9.92,34.08,4,9.99,34.31,5,10.10,34.44,3,9.97,34.23,1,9.72,33.88
2,9.95,44.03,3,9.83,44.14,5,9.95,44.39,4,10.03,44.26,1,10.01,43.89
1,9.89,53.92,3,9.90,54.04,5,9.73,54.12,4,9.85,54.11,2,10.07,53.96
1,9.50,1:03.42,4,9.80,1:03.84,2,9.32,1:03.44,5,9.84,1:03.95,3,9.87,1:03.83
2,9.35,1:12.77,3,9.25,1:13.09,1,9.13,1:12.57,4,9.52,1:13.47,5,9.94,1:13.77
2,9.23,1:22.00,3,9.47,1:22.56,1,9.41,1:21.98,4,9.56,1:23.03,5,10.41,1:24.18
2,9.76,1:31.76,3,10.05,1:32.610,1,9.65,1:31.63,4,9.97,1:33.002,5,10.92,1:35.100
