Hitomi SAITO POSITION,Hitomi SAITO LAP TIME,Hitomi SAITO ELAPSED TIME,Petra VANKOVA POSITION,Petra VANKOVA LAP TIME,Petra VANKOVA ELAPSED TIME,NOH Ah Rum POSITION,NOH Ah Rum LAP TIME,NOH Ah Rum ELAPSED TIME,Jamie JURAK POSITION,Jamie JURAK LAP TIME,Jamie JURAK ELAPSED TIME,BACSKAI Sara Luca POSITION,BACSKAI Sara Luca LAP TIME,BACSKAI Sara Luca ELAPSED TIME
1,13.73,13.73,3,13.99,13.99,2,13.84,13.84,5,14.27,14.27,4,14.10,14.10
1,10.26,23.99,4,10.38,24.37,2,10.27,24.11,5,10.27,24.54,3,10.10,24.20
1,9.74,33.73,4,9.77,34.14,2,9.76,33.87,5,9.87,34.41,3,9.80,34.00
1,9.59,43.32,4,9.50,43.64,2,9.56,43.43,5,9.77,44.18,3,9.52,43.52
1,9.57,52.89,4,9.60,53.24,2,9.58,53.01,5,9.94,54.12,3,9.59,53.11
1,9.60,1:02.49,4,9.53,1:02.77,2,9.57,1:02.58,5,10.00,1:04.12,3,9.56,1:02.67
2,9.63,1:12.12,4,9.62,1:12.39,1,9.53,1:12.11,5,10.13,1:14.25,3,9.56,1:12.23
2,9.74,1:21.86,4,9.79,1:22.18,1,9.45,1:21.56,5,10.40,1:24.65,3,9.64,1:21.87
3,9.79,1:31.65,4,10.04,1:32.22,1,9.48,1:31.04,5,10.54,1:35.19,2,9.28,1:31.15
