WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,NOH Jinkyu POSITION,NOH Jinkyu LAP TIME,NOH Jinkyu ELAPSED TIME,Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME,LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME
1,6.68,6.68,5,7.15,7.15,3,6.95,6.95,2,6.83,6.83,4,7.13,7.13
1,8.83,15.51,5,9.01,16.16,3,8.78,15.73,2,8.74,15.57,4,8.89,16.02
2,8.52,24.03,5,8.38,24.54,3,8.41,24.14,1,8.37,23.94,4,8.42,24.44
2,8.43,32.46,4,8.36,32.90,3,8.44,32.58,1,8.44,32.38,5,8.67,33.11
4,9.10,41.552,3,8.40,41.300,2,8.71,41.283,1,8.71,41.090,5,28.22,1:01.328
