Artur SULTANGALIYEV POSITION,Artur SULTANGALIYEV LAP TIME,Artur SULTANGALIYEV ELAPSED TIME,Hannes KROEGER POSITION,Hannes KROEGER LAP TIME,Hannes KROEGER ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME
3,12.90,12.90,2,12.80,12.80,4,12.97,12.97,1,12.71,12.71
3,10.60,23.50,2,10.59,23.39,4,10.65,23.62,1,10.58,23.29
3,10.28,33.78,2,10.29,33.68,4,10.32,33.94,1,10.29,33.58
3,9.62,43.40,2,9.62,43.30,4,9.58,43.52,1,9.61,43.19
3,9.25,52.65,2,9.25,52.55,4,9.23,52.75,1,9.26,52.45
3,9.18,1:01.83,2,9.19,1:01.74,4,9.17,1:01.92,1,9.14,1:01.59
3,9.25,1:11.08,4,9.47,1:11.21,2,9.09,1:11.01,1,9.16,1:10.75
3,9.55,1:20.63,4,9.56,1:20.77,2,9.02,1:20.03,1,9.21,1:19.96
3,10.07,1:30.695,4,10.12,1:30.885,2,9.45,1:29.478,1,9.41,1:29.364
