Viktor DIMITROV POSITION,Viktor DIMITROV LAP TIME,Viktor DIMITROV ELAPSED TIME,ZHANG Zhiqiang POSITION,ZHANG Zhiqiang LAP TIME,ZHANG Zhiqiang ELAPSED TIME,SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME,Stefan DRAB POSITION,Stefan DRAB LAP TIME,Stefan DRAB ELAPSED TIME
1,7.537,7.537,2,7.601,7.601,3,8.311,8.311,4,8.418,8.418
2,10.310,17.847,1,10.088,17.689,4,10.064,18.375,3,9.459,17.877
2,9.248,27.094,1,9.067,26.756,4,9.130,27.504,3,9.474,27.351
2,9.492,36.586,1,9.062,35.818,3,9.170,36.675,4,9.447,36.798
4,21.103,57.689,1,9.451,45.269,2,9.722,46.397,3,11.059,47.857
