ZAKHAROVA Evgeniya POSITION,ZAKHAROVA Evgeniya LAP TIME,ZAKHAROVA Evgeniya ELAPSED TIME,DALRYMPLE Georgie POSITION,DALRYMPLE Georgie LAP TIME,DALRYMPLE Georgie ELAPSED TIME,MONVOISIN Aurelie POSITION,MONVOISIN Aurelie LAP TIME,MONVOISIN Aurelie ELAPSED TIME,THOMSON Kathryn POSITION,THOMSON Kathryn LAP TIME,THOMSON Kathryn ELAPSED TIME,ASCIC Valentina POSITION,ASCIC Valentina LAP TIME,ASCIC Valentina ELAPSED TIME
2,13.79,13.79,1,13.67,,3,13.90,13.90,4,14.05,14.05,4,14.05,14.05
3,10.31,24.10,1,10.30,,4,10.35,24.25,5,10.36,24.41,2,10.03,24.08
2,9.49,33.59,1,9.54,,3,9.44,33.69,5,9.52,33.93,4,9.73,33.81
1,9.63,43.22,2,9.81,,3,9.72,43.41,5,9.76,43.69,4,9.78,43.59
1,9.81,53.03,3,9.92,,2,9.75,53.16,5,9.81,53.50,4,9.82,53.41
1,9.79,1:02.82,3,9.77,,2,9.74,1:02.90,4,9.72,1:03.22,5,9.86,1:03.27
1,9.83,1:12.65,2,9.71,,3,9.92,1:12.82,4,9.73,1:12.95,5,10.08,1:13.35
1,9.95,1:22.60,2,9.90,,3,9.84,1:22.66,4,9.84,1:22.79,5,10.57,1:23.92
2,10.66,1:33.26,4,23.56,,1,9.53,1:32.19,4,46.42,2:09.214,3,11.07,1:34.994
