Kristina NZL1 POSITION,Kristina NZL1 LAP TIME,Kristina NZL1 ELAPSED TIME,Elizaveta IVLJEVA POSITION,Elizaveta IVLJEVA LAP TIME,Elizaveta IVLJEVA ELAPSED TIME,Sarah LINDSAY POSITION,Sarah LINDSAY LAP TIME,Sarah LINDSAY ELAPSED TIME,CHOI Eun-Kyung POSITION,CHOI Eun-Kyung LAP TIME,CHOI Eun-Kyung ELAPSED TIME
2,15.144,15.144,1,15.068,15.068,3,15.294,15.294,4,15.443,15.443
3,12.262,27.405,1,12.018,27.085,2,11.986,27.279,4,12.374,27.816
2,12.443,39.848,1,12.644,39.729,3,12.642,39.921,4,12.622,40.438
1,12.120,51.967,2,12.363,52.092,4,12.433,52.354,3,11.872,52.310
1,11.552,1:03.519,2,11.655,1:03.746,3,11.538,1:03.891,4,11.668,1:03.977
1,10.872,1:14.390,2,10.650,1:14.395,3,10.601,1:14.492,4,10.740,1:14.717
1,10.333,1:24.723,3,10.500,1:24.895,2,10.383,1:24.875,4,10.243,1:24.960
3,10.560,1:35.283,4,10.510,1:35.404,2,10.404,1:35.278,1,9.812,1:34.772
3,11.00,1:46.276,4,11.06,1:46.459,2,10.28,1:45.554,1,10.24,1:45.009
