Evgenii KOZULIN POSITION,Evgenii KOZULIN LAP TIME,Evgenii KOZULIN ELAPSED TIME,Edoardo REGGIANI POSITION,Edoardo REGGIANI LAP TIME,Edoardo REGGIANI ELAPSED TIME,de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME
2,7.28,7.28,1,7.13,7.13,3,7.38,7.38
2,9.16,16.44,1,9.14,16.27,3,9.20,16.58
2,8.63,25.07,1,8.75,25.02,3,8.69,25.27
3,9.12,34.19,1,8.93,33.95,2,8.80,34.07
3,9.03,43.220,1,9.08,43.021,2,9.10,43.162
