Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,Valerie LAMBERT POSITION,Valerie LAMBERT LAP TIME,Valerie LAMBERT ELAPSED TIME,FAN Kexin POSITION,FAN Kexin LAP TIME,FAN Kexin ELAPSED TIME,Inna SIMONOVA POSITION,Inna SIMONOVA LAP TIME,Inna SIMONOVA ELAPSED TIME
1,7.17,7.17,3,7.41,7.41,2,7.31,7.31,4,7.74,7.74
1,9.54,16.71,3,9.39,16.80,2,9.40,16.71,4,9.65,17.39
2,9.11,25.82,3,9.14,25.94,1,9.00,25.71,4,9.22,26.61
2,9.23,35.05,3,9.25,35.19,1,9.25,34.96,4,9.47,36.08
2,9.56,44.605,3,9.46,44.643,1,9.55,44.508,4,9.99,46.066
