IVANDIC Maja POSITION,IVANDIC Maja LAP TIME,IVANDIC Maja ELAPSED TIME,Anja OBRADOVIC POSITION,Anja OBRADOVIC LAP TIME,Anja OBRADOVIC ELAPSED TIME,Ashley Sook Hui CHIN POSITION,Ashley Sook Hui CHIN LAP TIME,Ashley Sook Hui CHIN ELAPSED TIME,Nor Marissa Alia BINTI AHMAD LOKMAN POSITION,Nor Marissa Alia BINTI AHMAD LOKMAN LAP TIME,Nor Marissa Alia BINTI AHMAD LOKMAN ELAPSED TIME
2,8.22,8.22,1,7.96,7.96,4,10.32,10.32,3,9.01,9.01
2,10.67,18.89,1,10.89,18.85,4,12.43,22.75,3,11.16,20.17
2,10.76,29.65,1,10.72,29.57,4,13.02,35.77,3,10.52,30.69
1,10.89,40.54,2,11.02,40.59,4,14.16,49.93,3,10.89,41.58
1,10.70,51.217,2,11.30,51.874,4,13.76,1:03.664,3,11.35,52.906
