LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME,AHN Hyun-Soo POSITION,AHN Hyun-Soo LAP TIME,AHN Hyun-Soo ELAPSED TIME,LEE Seung-Jae POSITION,LEE Seung-Jae LAP TIME,LEE Seung-Jae ELAPSED TIME,Jean-Francois MONETTE POSITION,Jean-Francois MONETTE LAP TIME,Jean-Francois MONETTE ELAPSED TIME
1,0.353,0.353,3,6.849,6.849,2,6.756,6.756,4,7.038,7.038
1,15.371,15.724,3,9.052,15.900,2,8.972,15.727,4,9.058,16.096
1,8.927,24.650,3,9.039,24.939,4,13.361,29.088,2,8.835,24.930
1,9.062,33.712,2,8.829,33.767,4,24.965,54.053,3,9.039,33.968
2,16.23,49.940,1,9.33,43.091,0,,DQ,0,,DQ
