Maxime LAOUN POSITION,Maxime LAOUN LAP TIME,Maxime LAOUN ELAPSED TIME,YOSHINAGA Kazuki POSITION,YOSHINAGA Kazuki LAP TIME,YOSHINAGA Kazuki ELAPSED TIME,Yoann MARTINEZ POSITION,Yoann MARTINEZ LAP TIME,Yoann MARTINEZ ELAPSED TIME,XU Hongzhi POSITION,XU Hongzhi LAP TIME,XU Hongzhi ELAPSED TIME
2,14.58,14.58,1,14.53,14.53,3,14.71,14.71,4,14.73,14.73
2,10.23,24.81,1,10.15,24.68,3,10.22,24.93,4,10.30,25.03
2,9.73,34.54,1,9.74,34.42,3,9.70,34.63,4,9.72,34.75
2,9.29,43.83,1,9.31,43.73,3,9.31,43.94,4,9.33,44.08
1,8.85,52.68,2,9.08,52.81,3,8.93,52.87,4,8.93,53.01
1,8.96,1:01.64,2,8.97,1:01.78,3,9.00,1:01.87,4,8.99,1:02.00
1,8.95,1:10.59,2,8.96,1:10.74,3,9.02,1:10.89,4,8.98,1:10.98
1,8.94,1:19.53,2,8.91,1:19.65,4,9.24,1:20.13,3,8.85,1:19.83
1,9.09,1:28.62,0,,PHOTO,4,9.78,1:29.891,3,,1:28.716
