CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Sebastien GAGNON POSITION,Sebastien GAGNON LAP TIME,Sebastien GAGNON ELAPSED TIME,VIGANTS Endijs POSITION,VIGANTS Endijs LAP TIME,VIGANTS Endijs ELAPSED TIME,Zen Sheng Sian KOH POSITION,Zen Sheng Sian KOH LAP TIME,Zen Sheng Sian KOH ELAPSED TIME,Bohdan MOSHENSKYI POSITION,Bohdan MOSHENSKYI LAP TIME,Bohdan MOSHENSKYI ELAPSED TIME
1,13.33,13.33,2,13.46,13.46,3,13.60,13.60,4,13.76,13.76,5,13.93,13.93
1,9.65,22.98,2,9.63,23.09,3,9.65,23.25,4,9.61,23.37,5,9.69,23.62
1,9.33,32.31,2,9.32,32.41,3,9.38,32.63,4,9.36,32.73,5,9.69,33.31
1,9.19,41.50,2,9.20,41.61,3,9.17,41.80,4,9.20,41.93,5,9.91,43.22
2,9.05,50.55,1,8.84,50.45,3,9.20,51.00,4,9.26,51.19,5,10.16,53.38
2,8.99,59.54,1,8.98,59.43,3,9.53,1:00.53,4,9.56,1:00.75,5,10.51,1:03.89
2,9.03,1:08.57,1,9.03,1:08.46,3,9.67,1:10.20,4,10.08,1:10.83,5,10.59,1:14.48
2,9.37,1:17.94,1,9.40,1:17.86,3,10.01,1:20.21,4,10.55,1:21.38,5,10.85,1:25.33
2,9.61,1:27.55,1,9.67,1:27.53,3,10.56,1:30.770,4,10.91,1:32.290,5,10.96,1:36.293
