LI Jiajun POSITION,LI Jiajun LAP TIME,LI Jiajun ELAPSED TIME,LEE Seung-Jae POSITION,LEE Seung-Jae LAP TIME,LEE Seung-Jae ELAPSED TIME,Steve ROBILLARD POSITION,Steve ROBILLARD LAP TIME,Steve ROBILLARD ELAPSED TIME,Karol BOBOWICZ POSITION,Karol BOBOWICZ LAP TIME,Karol BOBOWICZ ELAPSED TIME
2,6.759,6.759,1,6.747,6.747,3,6.976,6.976,4,7.072,7.072
2,9.227,15.986,1,9.230,15.976,3,9.111,16.086,4,9.159,16.230
1,8.881,24.867,2,8.910,24.886,3,9.004,25.089,4,8.872,25.101
1,9.163,34.029,2,9.153,34.038,3,9.140,34.228,4,9.189,34.290
1,9.25,43.270,2,9.33,43.363,3,9.52,43.740,0,,DQ
