Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,HAN Jialiang POSITION,HAN Jialiang LAP TIME,HAN Jialiang ELAPSED TIME,Stephane PERIER POSITION,Stephane PERIER LAP TIME,Stephane PERIER ELAPSED TIME,Andre PULEC POSITION,Andre PULEC LAP TIME,Andre PULEC ELAPSED TIME
3,6.76,6.76,1,6.44,6.44,2,6.75,6.75,4,7.09,7.09
2,8.90,15.67,1,8.86,15.31,3,9.08,15.83,4,9.40,16.49
2,8.51,24.19,1,8.62,23.94,3,8.80,24.64,4,8.84,25.34
2,8.51,32.70,1,8.64,32.59,3,8.99,33.63,4,8.99,34.33
1,9.30,42.000,2,9.59,42.174,3,9.42,43.048,4,9.46,43.784
