Cole William Isaac KRUEGER POSITION,Cole William Isaac KRUEGER LAP TIME,Cole William Isaac KRUEGER ELAPSED TIME,Maksim SIARHEYU POSITION,Maksim SIARHEYU LAP TIME,Maksim SIARHEYU ELAPSED TIME,Hijiri IWASHITA POSITION,Hijiri IWASHITA LAP TIME,Hijiri IWASHITA ELAPSED TIME,ADAMSKI Pawel POSITION,ADAMSKI Pawel LAP TIME,ADAMSKI Pawel ELAPSED TIME,KRUZBERGS Roberts POSITION,KRUZBERGS Roberts LAP TIME,KRUZBERGS Roberts ELAPSED TIME
2,13.20,13.20,1,13.15,13.15,5,13.45,13.45,4,13.41,13.41,3,13.33,13.33
2,9.82,23.02,1,9.73,22.88,4,9.78,23.23,3,9.72,23.13,5,9.92,23.25
2,9.57,32.59,1,9.64,32.52,4,9.53,32.76,2,9.46,32.59,5,9.62,32.87
5,9.58,42.17,1,9.27,41.79,2,9.16,41.92,3,9.47,42.06,4,9.28,42.15
5,9.04,51.21,1,9.09,50.88,2,9.05,50.97,4,9.12,51.18,3,8.98,51.13
4,8.94,1:00.15,1,8.97,59.85,2,8.90,59.87,5,9.15,1:00.33,3,8.89,1:00.02
4,8.83,1:08.98,2,9.03,1:08.88,1,8.84,1:08.71,5,9.18,1:09.51,3,8.95,1:08.97
2,9.14,1:18.12,2,9.24,1:18.12,1,9.06,1:17.77,5,9.73,1:19.24,4,9.34,1:18.31
2,9.11,1:27.23,3,9.36,1:27.48,1,9.36,1:27.13,4,10.08,1:29.324,5,17.30,1:35.613
