Daniel ZETZSCHE POSITION,Daniel ZETZSCHE LAP TIME,Daniel ZETZSCHE ELAPSED TIME,YANG Fei POSITION,YANG Fei LAP TIME,YANG Fei ELAPSED TIME,NOH Jinkyu POSITION,NOH Jinkyu LAP TIME,NOH Jinkyu ELAPSED TIME,Christiaan BOKKERINK POSITION,Christiaan BOKKERINK LAP TIME,Christiaan BOKKERINK ELAPSED TIME,V Gundmi RAGHAVENDRA POSITION,V Gundmi RAGHAVENDRA LAP TIME,V Gundmi RAGHAVENDRA ELAPSED TIME
2,9.09,9.09,3,9.25,9.25,4,9.48,9.48,1,8.97,8.97,5,9.59,9.59
2,14.15,23.24,3,14.12,23.37,4,14.09,23.57,1,14.06,23.03,5,14.09,23.68
2,13.57,36.81,3,13.67,37.04,4,13.69,37.26,1,13.60,36.63,5,13.75,37.43
2,13.19,50.00,3,13.16,50.20,4,13.11,50.37,1,13.19,49.82,5,13.09,50.52
2,12.99,1:02.99,3,12.97,1:03.17,4,12.97,1:03.34,1,13.02,1:02.84,5,12.92,1:03.44
2,12.18,1:15.17,4,12.29,1:15.46,3,12.01,1:15.35,1,12.21,1:15.05,5,12.19,1:15.63
2,10.84,1:26.01,3,10.58,1:26.04,4,10.77,1:26.12,1,10.87,1:25.92,5,10.75,1:26.38
3,10.07,1:36.08,1,9.84,1:35.88,4,10.17,1:36.29,2,10.04,1:35.96,5,10.66,1:37.04
2,10.04,1:46.12,1,10.18,1:46.06,4,10.04,1:46.33,3,10.18,1:46.14,5,10.92,1:47.96
4,10.40,1:56.52,2,10.05,1:56.11,1,9.52,1:55.85,3,10.08,1:56.22,5,11.13,1:59.09
4,9.70,2:06.22,2,9.48,2:05.59,1,9.21,2:05.06,3,9.47,2:05.69,5,11.30,2:10.39
4,9.79,2:16.01,2,9.56,2:15.15,1,9.28,2:14.34,3,9.55,2:15.24,5,11.73,2:22.12
4,10.07,2:26.08,3,10.78,2:25.93,1,9.48,2:23.82,2,9.70,2:24.94,5,14.73,2:36.85
3,10.42,2:36.493,2,10.33,2:36.251,1,10.44,2:34.252,0,,PEN,4,12.79,2:49.639
