Marta CAPURSO POSITION,Marta CAPURSO LAP TIME,Marta CAPURSO ELAPSED TIME,SOLOMATINA Olga POSITION,SOLOMATINA Olga LAP TIME,SOLOMATINA Olga ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME,Anna KRASTEVA POSITION,Anna KRASTEVA LAP TIME,Anna KRASTEVA ELAPSED TIME
1,10.706,10.706,2,10.938,10.938,3,11.124,11.124,5,11.408,11.408,4,11.301,11.301
2,14.883,25.589,1,14.282,25.220,3,14.625,25.748,5,14.619,26.027,4,14.531,25.832
2,11.182,36.770,1,11.251,36.470,3,11.156,36.903,5,11.353,37.379,4,11.181,37.013
2,10.604,47.374,1,10.732,47.202,3,10.599,47.502,5,10.396,47.775,4,10.691,47.704
2,10.948,58.321,1,10.903,58.105,3,10.882,58.383,4,10.637,58.412,5,10.881,58.585
1,10.220,1:08.541,2,10.710,1:08.814,4,10.538,1:08.920,3,10.421,1:08.833,5,10.562,1:09.146
1,10.508,1:19.049,4,10.523,1:19.336,3,10.353,1:19.273,2,10.410,1:19.242,5,10.456,1:19.602
1,11.065,1:30.113,4,11.086,1:30.422,2,11.043,1:30.316,3,11.089,1:30.330,5,11.136,1:30.738
1,11.602,1:41.714,5,11.661,1:42.083,3,11.635,1:41.950,2,11.551,1:41.880,4,11.312,1:42.049
2,11.099,1:52.812,5,11.168,1:53.251,1,10.738,1:52.688,3,11.112,1:52.992,4,11.169,1:53.218
2,9.701,2:02.513,5,10.612,2:03.862,1,9.813,2:02.501,3,10.059,2:03.050,4,10.367,2:03.584
2,9.841,2:12.353,5,10.608,2:14.469,1,9.837,2:12.337,3,10.003,2:13.052,4,10.423,2:14.007
2,10.312,2:22.665,5,10.888,2:25.357,1,10.312,2:22.649,3,10.125,2:23.177,4,10.895,2:24.901
2,10.59,2:33.249,5,10.93,2:36.283,1,10.49,2:33.134,3,10.41,2:33.581,4,11.19,2:36.088
