WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Anthony LOBELLO POSITION,Anthony LOBELLO LAP TIME,Anthony LOBELLO ELAPSED TIME,Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME
1,13.44,13.44,3,13.78,13.78,2,13.60,13.60,4,13.88,13.88
2,10.34,23.78,3,10.08,23.86,1,10.07,23.67,4,9.99,23.87
2,9.87,33.65,3,9.95,33.81,1,9.91,33.58,4,10.06,33.93
2,9.58,43.23,3,9.58,43.39,1,9.54,43.12,4,9.49,43.42
2,9.08,52.31,4,9.22,52.61,1,9.08,52.20,3,9.04,52.46
2,8.99,1:01.30,4,8.90,1:01.51,1,9.01,1:01.21,3,8.94,1:01.40
2,9.26,1:10.56,3,9.11,1:10.62,1,9.26,1:10.47,4,9.24,1:10.64
3,9.37,1:19.93,2,9.31,1:19.93,1,9.37,1:19.84,4,9.52,1:20.16
3,9.83,1:29.761,1,9.14,1:29.071,2,9.82,1:29.659,4,9.71,1:29.864
