Bence BERES POSITION,Bence BERES LAP TIME,Bence BERES ELAPSED TIME,Remi BEAULIEU POSITION,Remi BEAULIEU LAP TIME,Remi BEAULIEU ELAPSED TIME,Fumihiko KAKUBARI POSITION,Fumihiko KAKUBARI LAP TIME,Fumihiko KAKUBARI ELAPSED TIME,Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME,Gregory DURAND POSITION,Gregory DURAND LAP TIME,Gregory DURAND ELAPSED TIME
2,12.35,12.35,4,12.56,12.56,1,12.29,12.29,3,12.39,12.39,5,12.68,12.68
1,9.80,22.16,5,9.99,22.56,2,9.93,22.22,3,9.96,22.35,4,9.77,22.45
2,9.89,32.05,4,9.65,32.22,1,9.74,31.96,3,9.79,32.15,5,9.84,32.30
2,9.33,41.39,3,9.24,41.46,1,9.35,41.32,4,9.34,41.49,5,9.33,41.63
4,9.44,50.83,1,9.01,50.47,3,9.25,50.57,2,9.03,50.53,5,9.45,51.08
3,9.59,1:00.42,1,9.20,59.68,5,30.72,1:21.30,4,29.91,1:20.44,2,8.66,59.74
3,9.96,1:10.39,1,9.60,1:09.28,5,15.92,1:37.22,4,12.28,1:32.73,2,10.62,1:10.36
3,10.11,1:20.50,1,9.98,1:19.27,5,13.22,1:50.44,4,11.22,1:43.95,2,10.04,1:20.40
3,10.54,1:31.032,1,10.58,1:29.844,4,12.24,2:02.676,0,,DQ,2,10.51,1:30.907
