Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME,Erika LINDGREN POSITION,Erika LINDGREN LAP TIME,Erika LINDGREN ELAPSED TIME,MALISZEWSKA Natalia POSITION,MALISZEWSKA Natalia LAP TIME,MALISZEWSKA Natalia ELAPSED TIME,DESMET Hanne POSITION,DESMET Hanne LAP TIME,DESMET Hanne ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,de VRIES Rianne POSITION,de VRIES Rianne LAP TIME,de VRIES Rianne ELAPSED TIME
1,9.51,9.51,4,9.65,9.65,5,9.74,9.74,6,9.86,9.86,3,9.63,9.63,2,9.61,9.61,7,10.01,10.01
6,12.29,21.80,4,11.92,21.57,7,12.24,21.98,1,11.57,21.43,5,12.01,21.64,3,11.93,21.54,2,11.48,21.49
6,11.62,33.42,1,11.21,32.78,7,11.53,33.51,3,11.58,33.01,5,11.67,33.31,4,11.61,33.15,2,11.43,32.92
6,11.38,44.80,2,11.50,44.28,7,11.37,44.88,1,11.13,44.14,5,11.38,44.69,4,11.42,44.57,3,11.52,44.44
1,10.81,55.61,3,11.50,55.78,6,11.18,56.06,2,11.50,55.64,7,11.53,56.22,5,11.40,55.97,3,11.34,55.78
1,10.31,1:05.92,5,10.38,1:06.16,6,10.20,1:06.26,2,10.34,1:05.98,7,10.22,1:06.44,3,10.05,1:06.02,4,10.28,1:06.06
2,10.06,1:15.98,6,10.20,1:16.36,5,9.95,1:16.21,4,10.08,1:16.06,7,9.94,1:16.38,1,9.88,1:15.90,3,9.99,1:16.05
5,10.14,1:26.12,7,10.15,1:26.51,1,9.67,1:25.88,6,10.24,1:26.30,4,9.72,1:26.10,2,10.02,1:25.92,3,9.88,1:25.93
4,9.63,1:35.75,7,10.14,1:36.65,1,9.53,1:35.41,6,9.67,1:35.97,2,9.37,1:35.47,5,9.94,1:35.86,3,9.68,1:35.61
4,9.94,1:45.69,7,10.61,1:47.26,1,9.99,1:45.40,6,9.92,1:45.89,2,10.05,1:45.52,5,9.93,1:45.79,3,9.99,1:45.60
4,10.19,1:55.88,7,11.30,1:58.56,2,10.25,1:55.65,6,10.24,1:56.13,1,10.12,1:55.64,5,10.22,1:56.01,3,10.14,1:55.74
2,9.71,2:05.59,7,11.94,2:10.50,5,10.38,2:06.03,6,9.91,2:06.04,1,9.83,2:05.47,3,9.72,2:05.73,4,10.00,2:05.74
2,9.91,2:15.50,7,11.96,2:22.46,6,10.51,2:16.54,5,9.79,2:15.83,1,9.92,2:15.39,3,9.86,2:15.59,4,9.98,2:15.72
2,9.99,2:25.49,7,12.70,2:35.131,6,11.04,2:27.556,5,9.87,2:25.688,1,10.05,2:25.44,3,9.94,2:25.53,4,9.95,2:25.67
