Evgenii KOZULIN POSITION,Evgenii KOZULIN LAP TIME,Evgenii KOZULIN ELAPSED TIME,YANG Jin POSITION,YANG Jin LAP TIME,YANG Jin ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,Robert BECKER POSITION,Robert BECKER LAP TIME,Robert BECKER ELAPSED TIME,Tom IVESON POSITION,Tom IVESON LAP TIME,Tom IVESON ELAPSED TIME
4,9.09,9.09,6,15.59,15.59,5,9.10,9.10,2,8.91,8.91,3,8.93,8.93,1,8.82,8.82
3,11.29,20.38,1,4.68,20.27,6,11.64,20.75,5,11.72,20.64,4,11.53,20.47,2,11.51,20.34
2,9.87,30.26,3,10.00,30.27,6,10.02,30.77,5,9.86,30.50,4,9.85,30.32,1,9.91,30.25
2,10.18,40.45,1,10.15,40.43,6,10.34,41.11,5,10.24,40.75,4,10.25,40.58,3,10.27,40.53
2,9.56,50.01,3,9.59,50.03,6,9.38,50.50,5,9.69,50.44,4,9.52,50.11,1,9.21,49.75
3,9.55,59.56,1,9.51,59.54,6,9.69,1:00.20,5,9.72,1:00.17,4,9.52,59.64,2,9.80,59.55
1,9.72,1:09.28,4,9.88,1:09.43,6,9.53,1:09.73,5,9.38,1:09.56,3,9.76,1:09.40,2,9.79,1:09.35
3,9.62,1:18.91,2,9.44,1:18.87,6,9.63,1:19.36,1,9.31,1:18.87,5,9.62,1:19.03,4,9.56,1:18.92
2,9.87,1:28.78,3,9.96,1:28.83,6,9.68,1:29.04,1,9.90,1:28.77,4,9.79,1:28.83,5,9.94,1:28.86
3,9.91,1:38.70,1,9.72,1:38.56,5,9.84,1:38.88,2,9.93,1:38.70,4,9.93,1:38.76,6,10.10,1:38.96
3,9.57,1:48.27,1,9.59,1:48.16,4,9.44,1:48.32,5,10.09,1:48.80,2,9.49,1:48.26,6,9.90,1:48.87
4,9.61,1:57.88,2,9.65,1:57.81,1,9.23,1:57.56,5,9.91,1:58.71,3,9.57,1:57.84,6,9.96,1:58.83
4,9.60,2:07.49,2,9.42,2:07.23,1,9.34,2:06.90,6,10.48,2:09.20,3,9.45,2:07.30,5,9.70,2:08.53
3,9.99,2:17.478,4,10.37,2:17.593,1,9.97,2:16.865,6,11.10,2:20.292,2,9.76,2:17.054,5,10.49,2:19.013
