Andrey STARZHINSKIY POSITION,Andrey STARZHINSKIY LAP TIME,Andrey STARZHINSKIY ELAPSED TIME,PARK Se Yeong POSITION,PARK Se Yeong LAP TIME,PARK Se Yeong ELAPSED TIME,BLACKBURN Mackenzie POSITION,BLACKBURN Mackenzie LAP TIME,BLACKBURN Mackenzie ELAPSED TIME,Julian WOOD POSITION,Julian WOOD LAP TIME,Julian WOOD ELAPSED TIME,Mikhail-Jeonghan CHOI POSITION,Mikhail-Jeonghan CHOI LAP TIME,Mikhail-Jeonghan CHOI ELAPSED TIME
2,10.12,10.12,3,10.22,10.22,1,10.01,10.01,5,10.44,10.44,4,10.39,10.39
2,14.32,24.44,5,14.52,24.74,3,14.45,24.46,1,13.82,24.26,4,14.19,24.58
3,13.58,38.02,5,13.40,38.14,2,13.53,37.99,1,13.56,37.82,4,13.54,38.12
2,13.08,51.10,5,13.22,51.36,1,13.02,51.01,3,13.30,51.12,4,13.17,51.29
1,12.55,1:03.65,4,12.59,1:03.95,3,12.76,1:03.77,5,13.02,1:04.14,2,12.38,1:03.67
3,11.49,1:15.14,5,11.35,1:15.30,4,11.49,1:15.26,1,10.70,1:14.84,2,11.35,1:15.02
3,11.44,1:26.58,5,11.45,1:26.75,4,11.36,1:26.62,1,11.43,1:26.27,2,11.49,1:26.51
3,10.21,1:36.79,5,10.22,1:36.97,2,9.99,1:36.61,1,10.22,1:36.49,4,10.35,1:36.86
5,17.76,1:54.55,2,9.40,1:46.37,3,9.83,1:46.44,4,10.07,1:46.56,1,9.25,1:46.11
5,14.03,2:08.58,1,9.10,1:55.47,3,9.53,1:55.97,4,9.56,1:56.12,2,9.79,1:55.90
5,10.76,2:19.34,1,8.86,2:04.33,3,9.52,2:05.49,4,9.61,2:05.73,2,9.15,2:05.05
5,10.62,2:29.96,1,9.17,2:13.50,3,9.65,2:15.14,4,9.67,2:15.40,2,9.47,2:14.52
5,10.75,2:40.71,1,9.35,2:22.85,3,10.12,2:25.26,4,10.12,2:25.52,2,9.75,2:24.27
5,10.97,2:51.675,1,9.92,2:32.770,3,10.51,2:35.768,4,10.88,2:36.396,2,10.41,2:34.676
