Olga BELYAKOVA POSITION,Olga BELYAKOVA LAP TIME,Olga BELYAKOVA ELAPSED TIME,Biba SAKURAI POSITION,Biba SAKURAI LAP TIME,Biba SAKURAI ELAPSED TIME,Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME,Tina GRASSOW POSITION,Tina GRASSOW LAP TIME,Tina GRASSOW ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME
2,9.31,9.31,5,9.77,9.77,4,9.62,9.62,3,9.45,9.45,1,9.27,9.27
1,14.44,23.75,4,14.36,24.13,5,14.52,24.14,3,14.56,24.01,2,14.52,23.79
1,13.18,36.93,4,13.31,37.44,5,13.44,37.58,3,13.29,37.30,2,13.31,37.10
1,12.09,49.02,5,11.98,49.42,4,11.82,49.40,3,12.00,49.30,2,12.03,49.13
2,11.28,1:00.30,5,11.21,1:00.63,1,10.80,1:00.20,4,11.20,1:00.50,3,11.25,1:00.38
3,11.46,1:11.76,5,11.35,1:11.98,2,11.52,1:11.72,4,11.33,1:11.83,1,11.25,1:11.63
1,10.35,1:22.11,5,10.67,1:22.65,3,10.61,1:22.33,4,10.70,1:22.53,2,10.60,1:22.23
1,10.46,1:32.57,5,10.32,1:32.97,3,10.43,1:32.76,4,10.33,1:32.86,2,10.38,1:32.61
1,10.21,1:42.78,5,10.20,1:43.17,3,10.19,1:42.95,4,10.10,1:42.96,2,10.24,1:42.85
1,9.70,1:52.48,5,9.69,1:52.86,4,9.82,1:52.77,3,9.70,1:52.66,2,9.71,1:52.56
1,9.47,2:01.95,5,9.50,2:02.36,4,9.49,2:02.26,3,9.47,2:02.13,2,9.48,2:02.04
1,9.46,2:11.41,5,9.33,2:11.69,4,9.41,2:11.67,3,9.44,2:11.57,2,9.39,2:11.43
1,9.43,2:20.84,5,9.51,2:21.20,4,9.50,2:21.17,3,9.50,2:21.07,2,9.50,2:20.93
1,9.62,2:30.459,5,9.52,2:30.714,3,9.50,2:30.668,4,9.60,2:30.670,2,9.62,2:30.548
