Jean-Francois MONETTE POSITION,Jean-Francois MONETTE LAP TIME,Jean-Francois MONETTE ELAPSED TIME,Thomas BAUER POSITION,Thomas BAUER LAP TIME,Thomas BAUER ELAPSED TIME,Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME,Nicola FRANCESCHINA POSITION,Nicola FRANCESCHINA LAP TIME,Nicola FRANCESCHINA ELAPSED TIME
2,14.888,14.888,1,14.642,14.642,3,14.912,14.912,4,14.991,14.991
3,11.787,26.674,1,11.675,26.316,2,11.654,26.565,4,11.737,26.728
3,10.676,37.350,1,10.725,37.040,2,10.547,37.111,4,10.666,37.393
4,11.031,48.381,1,11.024,48.064,3,11.113,48.224,2,10.710,48.103
4,9.903,58.283,2,9.682,57.746,3,9.961,58.185,1,9.601,57.703
4,9.514,1:07.797,1,9.592,1:07.338,3,9.283,1:07.467,2,9.642,1:07.344
4,9.179,1:16.976,2,9.474,1:16.811,3,9.445,1:16.912,1,9.417,1:16.760
2,9.044,1:26.019,4,16.824,1:33.635,3,9.506,1:26.417,1,9.199,1:25.959
1,9.43,1:35.448,4,19.30,1:52.933,3,9.47,1:35.881,2,9.63,1:35.582
