Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME,Bence BERES POSITION,Bence BERES LAP TIME,Bence BERES ELAPSED TIME,Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME
2,7.18,7.18,3,7.32,7.32,1,6.93,6.93
2,9.11,16.29,3,9.06,16.38,1,9.18,16.11
1,8.67,24.96,3,8.74,25.12,2,8.87,24.98
1,8.87,33.83,3,9.03,34.15,2,9.11,34.09
1,9.18,43.009,3,9.27,43.415,2,9.22,43.302
