Marta WOJCIK POSITION,Marta WOJCIK LAP TIME,Marta WOJCIK ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME,Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,de VRIES Rianne POSITION,de VRIES Rianne LAP TIME,de VRIES Rianne ELAPSED TIME,Marie YOSHIDA POSITION,Marie YOSHIDA LAP TIME,Marie YOSHIDA ELAPSED TIME
3,8.47,8.47,2,8.36,8.36,6,8.80,8.80,4,8.48,8.48,5,8.65,8.65,1,8.25,8.25
4,11.01,19.48,2,10.95,19.31,6,10.92,19.72,3,10.88,19.36,5,10.93,19.58,1,11.06,19.31
4,10.11,29.59,1,10.00,29.31,6,10.02,29.74,2,10.04,29.40,5,10.10,29.68,3,10.15,29.46
6,11.13,40.72,1,10.69,40.00,3,10.64,40.38,2,10.70,40.10,5,10.76,40.44,4,10.98,40.44
5,18.74,59.46,2,10.54,50.54,6,19.19,59.57,1,10.21,50.31,3,11.54,51.98,4,18.36,58.80
5,12.09,1:11.55,2,9.68,1:00.22,6,13.14,1:12.71,1,9.82,1:00.13,3,10.09,1:02.07,4,11.34,1:10.14
5,11.76,1:23.31,2,10.18,1:10.40,6,11.13,1:23.84,1,10.17,1:10.30,3,10.22,1:12.29,4,10.68,1:20.82
5,11.24,1:34.55,2,10.50,1:20.90,6,11.19,1:35.03,1,10.43,1:20.73,3,10.41,1:22.70,4,10.87,1:31.69
6,11.65,1:46.20,2,10.85,1:31.75,5,11.14,1:46.17,1,10.85,1:31.58,3,10.60,1:33.30,4,10.99,1:42.68
6,11.90,1:58.10,2,11.05,1:42.80,5,11.16,1:57.33,1,11.00,1:42.58,3,10.57,1:43.87,4,11.02,1:53.70
6,12.24,2:10.34,2,10.82,1:53.62,5,11.42,2:08.75,1,11.01,1:53.59,3,10.76,1:54.63,4,11.17,2:04.87
6,14.53,2:24.87,1,10.09,2:03.71,5,11.46,2:20.21,2,10.44,2:04.03,3,10.88,2:05.51,4,11.14,2:16.01
6,13.76,2:38.63,1,10.22,2:13.93,5,11.71,2:31.92,2,10.05,2:14.08,3,11.15,2:16.66,4,10.90,2:26.91
6,15.33,2:53.960,1,10.48,2:24.408,5,12.24,2:44.158,2,10.47,2:24.541,3,11.25,2:27.908,4,11.57,2:38.480
