Annita van DOORN POSITION,Annita van DOORN LAP TIME,Annita van DOORN ELAPSED TIME,Ekaterina STUKANOV POSITION,Ekaterina STUKANOV LAP TIME,Ekaterina STUKANOV ELAPSED TIME,Mara ZINI POSITION,Mara ZINI LAP TIME,Mara ZINI ELAPSED TIME,Francesca JACKSON POSITION,Francesca JACKSON LAP TIME,Francesca JACKSON ELAPSED TIME,Hyo-Jung KIM POSITION,Hyo-Jung KIM LAP TIME,Hyo-Jung KIM ELAPSED TIME
1,8.738,8.738,2,8.940,8.940,3,9.387,9.387,4,9.495,9.495,5,9.525,9.525
4,14.123,22.861,2,13.754,22.693,3,13.435,22.821,5,13.393,22.887,1,13.020,22.545
4,11.814,34.675,3,11.939,34.631,5,12.137,34.957,1,11.371,34.258,2,11.869,34.414
3,11.322,45.997,4,11.410,46.041,5,11.155,46.111,1,11.281,45.538,2,11.209,45.622
5,11.105,57.101,3,10.980,57.020,4,10.971,57.082,2,11.211,56.749,1,11.084,56.706
5,11.318,1:08.418,4,11.375,1:08.394,3,11.255,1:08.336,2,11.392,1:08.140,1,11.393,1:08.098
3,11.272,1:19.690,5,11.536,1:19.930,4,11.483,1:19.819,1,11.183,1:19.323,2,11.344,1:19.442
3,10.936,1:30.626,4,10.925,1:30.855,2,10.651,1:30.469,5,11.577,1:30.900,1,10.936,1:30.378
3,10.327,1:40.952,4,10.278,1:41.133,2,10.107,1:40.576,5,10.977,1:41.876,1,10.104,1:40.482
3,10.135,1:51.086,4,10.262,1:51.395,1,10.156,1:50.732,5,11.669,1:53.545,2,10.272,1:50.753
3,10.591,2:01.677,4,10.629,2:02.023,2,10.490,2:01.221,5,11.687,2:05.232,1,10.391,2:01.144
3,10.305,2:11.981,4,10.673,2:12.695,2,10.609,2:11.829,5,12.098,2:17.330,1,10.563,2:11.707
2,9.930,2:21.911,4,11.246,2:23.941,3,10.175,2:22.003,5,12.960,2:30.289,1,10.143,2:21.850
3,10.67,2:32.576,4,11.80,2:35.736,2,10.43,2:32.427,5,12.93,2:43.213,1,10.44,2:32.284
