Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,Anita NAGAY POSITION,Anita NAGAY LAP TIME,Anita NAGAY ELAPSED TIME,Kasandra BRADETTE POSITION,Kasandra BRADETTE LAP TIME,Kasandra BRADETTE ELAPSED TIME,LIU Yang POSITION,LIU Yang LAP TIME,LIU Yang ELAPSED TIME
2,7.52,7.52,4,8.16,8.16,1,7.28,7.28,3,7.78,7.78
2,9.64,17.16,4,10.15,18.31,1,9.48,16.76,3,9.42,17.20
3,9.10,26.26,4,9.73,28.04,1,9.02,25.78,2,8.90,26.10
3,9.09,35.35,4,9.90,37.94,1,9.21,34.99,2,9.02,35.12
3,9.35,44.70,4,10.38,48.32,2,9.54,44.53,1,9.29,44.41
