Chris CREVELING POSITION,Chris CREVELING LAP TIME,Chris CREVELING ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME
2,6.77,6.77,1,6.61,6.61,3,6.93,6.93,4,7.03,7.03
2,8.87,15.64,1,8.67,15.28,3,8.81,15.74,4,8.84,15.87
2,8.22,23.86,1,8.39,23.67,3,8.27,24.01,4,8.26,24.13
2,8.28,32.14,1,8.38,32.05,3,8.26,32.27,4,8.32,32.45
4,9.22,41.360,1,8.59,40.637,2,8.47,40.733,3,8.63,41.072
