Marina GEORGIEVA-NIKOLOVA POSITION,Marina GEORGIEVA-NIKOLOVA LAP TIME,Marina GEORGIEVA-NIKOLOVA ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Aida BELLA POSITION,Aida BELLA LAP TIME,Aida BELLA ELAPSED TIME
3,13.52,13.52,2,13.44,13.44,1,13.36,13.36,4,13.71,13.71
4,10.67,24.19,2,10.62,24.06,1,10.69,24.05,3,10.41,24.12
4,10.00,34.20,3,10.10,34.16,2,9.98,34.03,1,9.79,33.92
4,10.48,44.68,1,10.16,44.33,2,10.38,44.41,3,10.50,44.43
3,9.92,54.60,1,10.12,54.45,4,10.46,54.88,2,10.04,54.47
4,10.24,1:04.84,1,10.15,1:04.61,3,9.92,1:04.80,2,10.18,1:04.65
4,10.14,1:14.99,1,10.04,1:14.65,2,9.94,1:14.74,3,10.16,1:14.82
2,9.59,1:24.59,1,9.85,1:24.51,3,9.89,1:24.64,4,10.45,1:25.28
2,9.92,1:34.511,1,9.94,1:34.449,3,10.18,1:34.820,4,11.17,1:36.446
