Anja OBRADOVIC POSITION,Anja OBRADOVIC LAP TIME,Anja OBRADOVIC ELAPSED TIME,Dione Shu Yen TAN POSITION,Dione Shu Yen TAN LAP TIME,Dione Shu Yen TAN ELAPSED TIME,Kynie CHAN POSITION,Kynie CHAN LAP TIME,Kynie CHAN ELAPSED TIME,DUBROVA Uliana POSITION,DUBROVA Uliana LAP TIME,DUBROVA Uliana ELAPSED TIME,Sofiia KHOCHYNA POSITION,Sofiia KHOCHYNA LAP TIME,Sofiia KHOCHYNA ELAPSED TIME
3,13.15,13.15,4,13.29,13.29,5,13.43,13.43,1,12.93,,2,13.09,13.09
3,15.29,28.44,4,15.29,28.58,5,15.28,28.71,1,15.24,,2,15.21,28.30
3,13.17,41.61,4,13.13,41.71,5,13.09,41.80,1,13.19,,2,13.18,41.48
3,12.34,53.95,4,12.36,54.07,5,12.38,54.18,1,12.32,,2,12.33,53.81
3,11.80,1:05.75,4,11.77,1:05.84,5,11.74,1:05.92,1,11.86,,2,11.83,1:05.64
4,12.15,1:17.90,2,11.67,1:17.51,5,12.03,1:17.95,1,11.84,,3,12.05,1:17.69
4,10.89,1:28.79,2,11.08,1:28.59,5,10.99,1:28.94,1,11.11,,3,11.02,1:28.71
4,10.82,1:39.61,2,10.71,1:39.30,5,11.02,1:39.96,1,10.68,,3,10.80,1:39.51
4,10.75,1:50.36,2,10.69,1:49.99,5,11.19,1:51.15,1,10.71,,3,10.76,1:50.27
3,10.97,2:01.33,2,11.04,2:01.03,5,11.63,2:02.78,1,11.04,,4,11.48,2:01.75
3,11.27,2:12.60,2,11.07,2:12.10,5,11.69,2:14.47,1,11.05,,4,12.03,2:13.78
3,11.68,2:24.28,2,11.22,2:23.32,5,11.79,2:26.26,1,11.23,,4,12.18,2:25.96
3,12.28,2:36.56,2,11.46,2:34.78,5,12.01,2:38.27,1,11.46,,4,12.17,2:38.13
2,12.38,2:48.943,1,11.58,2:46.366,4,12.14,2:50.417,1,11.67,,3,12.27,2:50.406
