Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Wim de DEYNE POSITION,Wim de DEYNE LAP TIME,Wim de DEYNE ELAPSED TIME,HAN Jialiang POSITION,HAN Jialiang LAP TIME,HAN Jialiang ELAPSED TIME
1,6.93,6.93,2,7.04,7.04,4,7.55,7.55,3,7.54,7.54
1,9.16,16.09,2,9.15,16.19,4,9.78,17.33,3,9.47,17.01
1,8.72,24.81,2,8.71,24.90,4,8.88,26.21,3,8.55,25.56
2,8.92,33.73,1,8.76,33.66,4,8.82,35.03,3,8.55,34.11
3,9.20,42.921,1,8.90,42.557,4,9.32,44.342,2,8.79,42.899
