Ian UPCOTT POSITION,Ian UPCOTT LAP TIME,Ian UPCOTT ELAPSED TIME,Dawid RZEMIENIECKI POSITION,Dawid RZEMIENIECKI LAP TIME,Dawid RZEMIENIECKI ELAPSED TIME,Jonathan GARCIA POSITION,Jonathan GARCIA LAP TIME,Jonathan GARCIA ELAPSED TIME,Rinat MAZHENOV POSITION,Rinat MAZHENOV LAP TIME,Rinat MAZHENOV ELAPSED TIME,OLAH Bence POSITION,OLAH Bence LAP TIME,OLAH Bence ELAPSED TIME
4,9.68,9.68,3,9.53,9.53,5,9.89,9.89,1,9.40,9.40,2,9.44,9.44
4,14.12,23.80,3,14.13,23.66,5,14.03,23.92,1,13.97,23.37,2,14.12,23.56
4,13.27,37.07,3,13.30,36.96,5,13.26,37.18,1,13.29,36.66,2,13.28,36.84
4,12.48,49.55,2,12.52,49.48,3,12.31,49.49,5,12.91,49.57,1,12.62,49.46
4,10.58,1:00.13,2,10.49,59.97,1,10.39,59.88,5,10.68,1:00.25,3,10.52,59.98
2,9.90,1:10.03,4,10.19,1:10.16,1,10.11,1:09.99,5,10.01,1:10.26,3,10.11,1:10.09
1,9.37,1:19.40,3,9.33,1:19.49,2,9.42,1:19.41,5,9.40,1:19.66,4,9.47,1:19.56
2,9.52,1:28.92,3,9.51,1:29.00,1,9.41,1:28.82,4,9.45,1:29.11,5,9.72,1:29.28
2,9.62,1:38.54,3,9.62,1:38.62,1,9.63,1:38.45,4,9.61,1:38.72,5,9.53,1:38.81
2,9.63,1:48.17,3,9.63,1:48.25,1,9.60,1:48.05,4,9.65,1:48.37,5,9.66,1:48.47
3,9.49,1:57.66,2,9.38,1:57.63,1,9.39,1:57.44,4,9.44,1:57.81,5,9.52,1:57.99
3,9.44,2:07.10,2,9.05,2:06.68,1,9.14,2:06.58,4,9.59,2:07.40,5,9.69,2:07.68
3,9.73,2:16.83,2,9.23,2:15.91,1,9.23,2:15.81,4,9.99,2:17.39,5,10.17,2:17.85
3,10.11,2:26.932,2,9.52,2:25.424,1,9.51,2:25.315,4,10.52,2:27.908,5,10.55,2:28.393
