Catia BORRELLO POSITION,Catia BORRELLO LAP TIME,Catia BORRELLO ELAPSED TIME,TALAYEVA Volha POSITION,TALAYEVA Volha LAP TIME,TALAYEVA Volha ELAPSED TIME,Ayuko ITO POSITION,Ayuko ITO LAP TIME,Ayuko ITO ELAPSED TIME,HUANG Yu-Ting POSITION,HUANG Yu-Ting LAP TIME,HUANG Yu-Ting ELAPSED TIME,Francesca JACKSON POSITION,Francesca JACKSON LAP TIME,Francesca JACKSON ELAPSED TIME
2,9.113,9.113,1,8.566,8.566,4,9.270,9.270,3,9.163,9.163,5,9.367,9.367
2,11.415,20.527,1,11.734,20.300,3,11.397,20.667,5,11.629,20.792,4,11.369,20.736
3,11.110,31.636,1,11.028,31.327,5,11.129,31.796,4,10.864,31.655,2,10.810,31.545
3,11.352,42.988,1,10.936,42.263,4,11.318,43.114,5,20.552,52.206,2,11.422,42.966
4,11.358,54.345,1,11.207,53.470,2,10.892,54.005,5,14.648,1:06.854,3,11.106,54.072
1,10.761,1:05.105,3,11.871,1:05.341,2,11.211,1:05.216,5,11.871,1:18.725,4,11.289,1:05.360
1,11.584,1:16.689,2,11.563,1:16.903,3,11.696,1:16.912,5,11.588,1:30.312,4,11.715,1:17.075
1,11.598,1:28.286,3,11.704,1:28.606,2,11.525,1:28.436,5,11.589,1:41.901,4,11.648,1:28.722
1,11.547,1:39.833,3,11.469,1:40.075,2,11.477,1:39.912,5,11.662,1:53.562,4,11.680,1:40.402
1,11.411,1:51.243,3,11.479,1:51.553,2,11.565,1:51.476,5,11.969,2:05.530,4,12.404,1:52.805
2,11.487,2:02.730,3,11.355,2:02.908,1,11.181,2:02.657,5,12.192,2:17.721,4,12.525,2:05.329
2,10.616,2:13.346,3,12.004,2:14.912,1,10.539,2:13.196,5,11.880,2:29.601,4,12.487,2:17.816
2,11.377,2:24.722,3,12.578,2:27.489,1,10.744,2:23.939,5,12.304,2:41.904,4,12.842,2:30.658
2,12.22,2:36.935,3,13.14,2:40.621,1,11.08,2:35.019,5,12.69,2:54.592,4,12.99,2:43.639
