Marina GEORGIEVA-NIKOLOVA POSITION,Marina GEORGIEVA-NIKOLOVA LAP TIME,Marina GEORGIEVA-NIKOLOVA ELAPSED TIME,Chika ISHIDA POSITION,Chika ISHIDA LAP TIME,Chika ISHIDA ELAPSED TIME,Sarah LINDSAY POSITION,Sarah LINDSAY LAP TIME,Sarah LINDSAY ELAPSED TIME
3,14.55,14.55,1,14.25,14.25,2,14.45,14.45
3,11.06,25.62,1,11.28,25.54,2,11.11,25.56
3,10.93,36.55,1,10.51,36.06,2,10.85,36.41
3,10.26,46.81,1,10.31,46.37,2,10.39,46.80
3,10.47,57.29,1,10.62,57.00,2,10.35,57.15
2,10.55,1:07.84,1,10.51,1:07.52,3,10.77,1:07.93
1,9.78,1:17.62,2,10.15,1:17.68,3,10.23,1:18.16
1,9.61,1:27.24,2,9.85,1:27.53,3,9.84,1:28.01
1,10.00,1:37.233,3,11.38,1:38.904,2,10.16,1:38.163
