Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,OH Se-Jong POSITION,OH Se-Jong LAP TIME,OH Se-Jong ELAPSED TIME,Robbert-Kees BOER POSITION,Robbert-Kees BOER LAP TIME,Robbert-Kees BOER ELAPSED TIME,Assen PANDOV POSITION,Assen PANDOV LAP TIME,Assen PANDOV ELAPSED TIME,Wim de DEYNE POSITION,Wim de DEYNE LAP TIME,Wim de DEYNE ELAPSED TIME,Matus UZAK POSITION,Matus UZAK LAP TIME,Matus UZAK ELAPSED TIME
5,9.674,9.674,3,9.283,9.283,2,9.280,9.280,6,9.913,9.913,4,9.641,9.641,1,9.083,9.083
2,11.752,21.426,1,12.091,21.374,3,12.363,21.643,4,11.780,21.692,6,12.191,21.831,5,12.686,21.769
1,10.531,31.957,2,10.743,32.116,4,10.833,32.475,3,10.700,32.391,6,10.863,32.694,5,10.838,32.607
4,11.106,43.063,1,10.779,42.894,3,10.577,43.052,2,10.625,43.015,6,10.557,43.250,5,10.612,43.218
6,11.791,54.853,1,11.227,54.120,4,11.554,54.605,2,11.529,54.543,3,11.332,54.581,5,11.444,54.662
6,11.447,1:06.299,1,11.629,1:05.749,2,11.279,1:05.883,3,11.497,1:06.040,5,11.629,1:06.210,4,11.405,1:06.066
6,10.770,1:17.069,2,10.811,1:16.559,1,10.554,1:16.437,4,10.951,1:16.991,5,10.803,1:17.013,3,10.524,1:16.590
6,10.145,1:27.213,1,9.925,1:26.484,2,10.115,1:26.551,4,9.926,1:26.917,5,10.064,1:27.077,3,10.083,1:26.673
6,9.356,1:36.568,5,10.074,1:36.558,4,9.998,1:36.549,3,9.624,1:36.540,2,9.250,1:36.327,1,9.478,1:36.150
3,9.332,1:45.900,6,9.665,1:46.222,5,9.564,1:46.112,4,9.426,1:45.966,2,9.436,1:45.763,1,9.528,1:45.678
3,9.447,1:55.346,5,9.271,1:55.493,4,9.332,1:55.444,6,9.619,1:55.584,2,9.310,1:55.072,1,9.395,1:55.072
1,9.283,2:04.629,5,9.364,2:04.856,4,9.395,2:04.838,6,10.878,2:06.461,2,9.635,2:04.706,3,9.648,2:04.720
1,9.571,2:14.200,3,9.686,2:14.541,5,10.209,2:15.047,6,10.672,2:17.133,2,9.816,2:14.522,4,9.977,2:14.696
1,9.71,2:23.902,2,9.96,2:24.495,4,10.00,2:25.042,0,,DQ,3,10.17,2:24.692,0,,DQ
