Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME,Olga LOPATKINA POSITION,Olga LOPATKINA LAP TIME,Olga LOPATKINA ELAPSED TIME,ZHU Mi Lei POSITION,ZHU Mi Lei LAP TIME,ZHU Mi Lei ELAPSED TIME,Hyo-Jung KIM POSITION,Hyo-Jung KIM LAP TIME,Hyo-Jung KIM ELAPSED TIME
2,14.719,14.719,1,14.155,14.155,4,14.841,14.841,3,14.732,14.732
2,11.911,26.629,4,12.513,26.668,3,11.796,26.636,1,11.776,26.508
2,11.890,38.519,1,11.643,38.311,4,12.056,38.692,3,12.118,38.626
1,10.725,49.243,2,11.098,49.409,3,10.772,49.464,4,10.867,49.492
2,10.503,59.746,4,10.471,59.880,3,10.317,59.780,1,10.075,59.566
3,9.960,1:09.705,4,10.633,1:10.512,2,9.898,1:09.677,1,9.806,1:09.372
3,9.916,1:19.621,4,10.881,1:21.393,1,9.533,1:19.209,2,10.104,1:19.475
3,10.054,1:29.674,4,11.629,1:33.022,1,9.758,1:28.966,2,9.551,1:29.026
3,11.35,1:41.022,4,12.00,1:45.020,1,10.24,1:39.197,2,10.35,1:39.372
