SHULGINOV Alexander POSITION,SHULGINOV Alexander LAP TIME,SHULGINOV Alexander ELAPSED TIME,Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME,Fabrice DUFBERG SUH POSITION,Fabrice DUFBERG SUH LAP TIME,Fabrice DUFBERG SUH ELAPSED TIME,OLAH Bence POSITION,OLAH Bence LAP TIME,OLAH Bence ELAPSED TIME,Tunay SIMSEK POSITION,Tunay SIMSEK LAP TIME,Tunay SIMSEK ELAPSED TIME,Simon FRANCIS POSITION,Simon FRANCIS LAP TIME,Simon FRANCIS ELAPSED TIME
3,13.64,13.64,2,13.53,13.53,1,13.42,13.42,4,13.73,13.73,5,13.86,13.86,6,13.96,13.96
3,10.65,24.29,2,10.68,24.21,1,10.66,24.08,4,10.64,24.37,5,10.63,24.49,6,10.69,24.65
3,10.44,34.73,1,10.33,34.54,2,10.49,34.57,4,10.63,35.00,5,10.60,35.09,6,10.45,35.10
1,9.82,44.55,2,10.12,44.66,3,10.18,44.75,6,10.21,45.21,4,9.75,44.84,5,9.93,45.03
1,9.90,54.45,2,9.89,54.55,3,9.93,54.68,6,10.36,55.57,4,10.01,54.85,5,9.96,54.99
1,9.24,1:03.69,2,9.26,1:03.81,3,9.28,1:03.96,6,10.33,1:05.90,4,9.41,1:04.26,5,9.65,1:04.64
1,8.91,1:12.60,2,8.89,1:12.70,3,8.88,1:12.84,6,11.24,1:17.14,4,9.12,1:13.38,5,9.60,1:14.24
1,8.90,1:21.50,2,8.90,1:21.60,3,8.97,1:21.81,6,12.11,1:29.25,4,9.31,1:22.69,5,9.81,1:24.05
1,9.14,1:30.64,2,9.14,1:30.74,3,9.27,1:31.060,6,13.34,1:42.544,4,9.61,1:32.291,5,10.16,1:34.192
