PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,Katia ZINI POSITION,Katia ZINI LAP TIME,Katia ZINI ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME,Patrycja MALISZEWSKA POSITION,Patrycja MALISZEWSKA LAP TIME,Patrycja MALISZEWSKA ELAPSED TIME
1,9.93,9.93,4,10.18,10.18,3,10.01,10.01,2,9.96,9.96,5,10.33,10.33
1,14.25,24.19,3,14.08,24.26,2,14.24,24.25,5,14.81,24.78,4,14.14,24.47
3,13.23,37.42,2,13.05,37.32,4,13.24,37.50,1,12.39,37.18,5,13.40,37.88
3,12.89,50.32,2,12.99,50.31,4,12.95,50.45,1,13.08,50.27,5,12.74,50.62
1,12.60,1:02.93,4,12.76,1:03.07,3,12.52,1:02.97,2,12.69,1:02.96,5,12.69,1:03.32
4,11.61,1:14.54,3,11.36,1:14.44,1,11.37,1:14.34,2,11.37,1:14.34,5,11.54,1:14.86
3,10.56,1:25.11,4,10.70,1:25.15,2,10.72,1:25.06,1,10.65,1:24.99,5,10.62,1:25.49
3,10.25,1:35.36,4,10.22,1:35.37,1,9.98,1:35.04,2,10.07,1:35.07,5,10.11,1:35.60
3,10.59,1:45.95,4,10.58,1:45.95,2,10.86,1:45.91,1,10.82,1:45.89,5,10.83,1:46.43
2,10.11,1:56.07,4,10.30,1:56.26,1,10.11,1:56.02,3,10.29,1:56.19,5,10.42,1:56.85
2,9.99,2:06.07,4,10.03,2:06.29,1,9.99,2:06.02,3,9.91,2:06.10,5,10.61,2:07.47
4,10.29,2:16.36,3,9.98,2:16.28,2,10.12,2:16.14,1,9.99,2:16.10,5,11.12,2:18.59
3,10.14,2:26.50,4,10.25,2:26.53,1,10.15,2:26.29,2,10.33,2:26.43,5,11.89,2:30.49
2,10.59,2:37.084,4,10.71,2:37.231,1,10.53,2:36.819,3,10.75,2:37.175,5,13.02,2:43.509
