Armstrong LAZENBY POSITION,Armstrong LAZENBY LAP TIME,Armstrong LAZENBY ELAPSED TIME,Aslan DAUMOV POSITION,Aslan DAUMOV LAP TIME,Aslan DAUMOV ELAPSED TIME,Kiril PANDOV POSITION,Kiril PANDOV LAP TIME,Kiril PANDOV ELAPSED TIME,LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME
1,13.24,13.24,3,13.44,13.44,4,13.51,13.51,2,13.33,13.33
1,9.92,23.16,3,9.92,23.36,4,9.97,23.48,2,9.93,23.26
1,9.75,32.91,3,9.75,33.11,4,9.79,33.27,2,9.75,33.01
1,9.60,42.51,3,9.61,42.72,4,9.57,42.84,2,9.62,42.63
1,9.41,51.92,3,9.37,52.09,4,9.35,52.19,2,9.39,52.02
3,9.74,1:01.66,2,9.54,1:01.63,4,9.59,1:01.78,1,9.46,1:01.48
4,9.78,1:11.44,2,9.55,1:11.18,3,9.52,1:11.30,1,9.53,1:11.01
4,10.04,1:21.48,2,9.82,1:21.00,3,9.73,1:21.03,1,9.65,1:20.66
4,10.22,1:31.695,2,10.23,1:31.224,3,10.25,1:31.280,1,9.88,1:30.539
