KONSTANTINOVA Ekaterina POSITION,KONSTANTINOVA Ekaterina LAP TIME,KONSTANTINOVA Ekaterina ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME,Samantha MORRISON POSITION,Samantha MORRISON LAP TIME,Samantha MORRISON ELAPSED TIME,CHOI Min Jeong POSITION,CHOI Min Jeong LAP TIME,CHOI Min Jeong ELAPSED TIME
1,14.24,14.24,3,14.54,14.54,2,14.42,14.42,4,14.64,14.64,5,14.74,14.74
1,10.85,25.09,3,10.85,25.39,2,10.78,25.20,3,10.75,25.39,5,10.76,25.50
1,9.82,34.91,4,9.95,35.34,2,9.87,35.07,3,9.81,35.20,5,10.01,35.51
1,9.73,44.64,4,9.65,44.99,2,9.63,44.70,3,9.64,44.84,5,9.57,45.08
1,9.53,54.17,4,9.56,54.55,2,9.55,54.25,3,9.57,54.41,5,9.51,54.59
1,9.60,1:03.77,4,9.59,1:04.14,5,10.10,1:04.35,3,9.68,1:04.09,2,9.23,1:03.82
2,9.61,1:13.38,4,9.88,1:14.02,5,10.33,1:14.68,3,9.74,1:13.83,1,9.12,1:12.94
2,9.58,1:22.96,4,9.95,1:23.97,5,10.76,1:25.44,3,10.13,1:23.96,1,9.26,1:22.20
2,10.08,1:33.04,4,11.16,1:35.13,5,11.69,1:37.13,3,10.61,1:34.57,1,9.82,1:32.02
