Stephen LEE POSITION,Stephen LEE LAP TIME,Stephen LEE ELAPSED TIME,J P KEPKA POSITION,J P KEPKA LAP TIME,J P KEPKA ELAPSED TIME,Nicola FRANCESCHINA POSITION,Nicola FRANCESCHINA LAP TIME,Nicola FRANCESCHINA ELAPSED TIME,Peter DARAZS POSITION,Peter DARAZS LAP TIME,Peter DARAZS ELAPSED TIME
4,14.579,14.579,3,14.544,14.544,2,14.320,14.320,1,14.082,14.082
2,10.487,25.066,3,10.594,25.137,4,10.891,25.210,1,10.547,24.628
3,10.445,35.511,4,10.680,35.817,2,10.194,35.404,1,10.654,35.281
2,10.462,45.972,3,10.176,45.992,1,10.300,45.704,4,11.424,46.705
4,10.119,56.090,3,10.042,56.033,1,9.562,55.265,2,9.192,55.897
4,9.404,1:05.494,2,8.817,1:04.849,1,9.490,1:04.755,3,9.173,1:05.069
4,9.262,1:14.755,2,9.263,1:14.112,1,9.006,1:13.761,3,9.240,1:14.309
4,9.588,1:24.343,2,9.335,1:23.447,1,9.331,1:23.091,3,9.456,1:23.764
4,10.08,1:34.423,2,9.80,1:33.242,1,10.05,1:33.140,3,9.80,1:33.561
