KAZHGALI Nurtilek POSITION,KAZHGALI Nurtilek LAP TIME,KAZHGALI Nurtilek ELAPSED TIME,LI Wenlong POSITION,LI Wenlong LAP TIME,LI Wenlong ELAPSED TIME,TRAN Aaron POSITION,TRAN Aaron LAP TIME,TRAN Aaron ELAPSED TIME,YOSHINAGA Kazuki POSITION,YOSHINAGA Kazuki LAP TIME,YOSHINAGA Kazuki ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Billy SIMMS POSITION,Billy SIMMS LAP TIME,Billy SIMMS ELAPSED TIME
6,9.06,9.06,2,8.36,8.36,1,8.21,8.21,3,8.54,8.54,4,8.71,8.71,5,8.82,8.82
6,10.62,19.68,2,10.82,19.18,1,10.83,19.04,3,10.81,19.35,4,10.78,19.49,5,10.76,19.58
6,10.18,29.86,2,10.26,29.44,1,10.29,29.33,3,10.28,29.63,4,10.23,29.72,5,10.27,29.85
5,10.15,40.01,2,10.18,39.62,1,10.19,39.52,3,10.13,39.76,4,10.16,39.88,6,10.27,40.12
5,9.93,49.94,2,9.96,49.58,1,9.96,49.48,3,9.95,49.71,4,9.94,49.82,6,9.95,50.07
5,9.78,59.72,2,9.87,59.45,1,9.86,59.34,3,9.90,59.61,4,9.89,59.71,6,9.81,59.88
4,9.64,1:09.36,2,9.70,1:09.15,1,9.70,1:09.04,3,9.64,1:09.25,5,9.81,1:09.52,6,9.75,1:09.63
4,9.12,1:18.48,3,9.23,1:18.38,1,9.16,1:18.20,2,9.05,1:18.30,5,9.04,1:18.56,6,9.19,1:18.82
4,9.13,1:27.61,3,9.12,1:27.50,1,9.02,1:27.22,2,9.08,1:27.38,5,9.15,1:27.71,6,9.10,1:27.92
4,8.79,1:36.40,3,8.81,1:36.31,2,8.94,1:36.16,1,8.75,1:36.13,5,8.79,1:36.50,6,9.67,1:37.59
4,9.02,1:45.42,3,8.98,1:45.29,2,9.01,1:45.17,1,8.87,1:45.00,5,9.04,1:45.54,6,10.47,1:48.06
4,8.85,1:54.27,3,8.87,1:54.16,2,8.85,1:54.02,1,8.89,1:53.89,5,8.75,1:54.29,6,11.26,1:59.32
5,9.20,2:03.47,3,8.98,2:03.14,2,8.92,2:02.94,1,8.93,2:02.82,4,9.07,2:03.36,6,11.53,2:10.85
5,9.07,2:12.54,3,9.13,2:12.27,2,9.10,2:12.04,1,9.05,2:11.87,4,8.97,2:12.33,6,11.83,2:22.68
