J P KEPKA POSITION,J P KEPKA LAP TIME,J P KEPKA ELAPSED TIME,Jeremy BECK POSITION,Jeremy BECK LAP TIME,Jeremy BECK ELAPSED TIME,HAN Jialiang POSITION,HAN Jialiang LAP TIME,HAN Jialiang ELAPSED TIME
1,6.757,6.757,3,7.216,7.216,2,6.874,6.874
1,8.842,15.599,3,9.314,16.530,2,8.908,15.782
1,8.428,24.027,3,8.960,25.490,2,8.619,24.401
1,8.757,32.784,3,9.659,35.149,2,8.636,33.037
2,9.343,42.127,3,9.708,44.857,1,8.988,42.025
