TAO Jiaying POSITION,TAO Jiaying LAP TIME,TAO Jiaying ELAPSED TIME,MALISZEWSKA Natalia POSITION,MALISZEWSKA Natalia LAP TIME,MALISZEWSKA Natalia ELAPSED TIME,Federica TOMBOLATO POSITION,Federica TOMBOLATO LAP TIME,Federica TOMBOLATO ELAPSED TIME,Geneve BELANGER POSITION,Geneve BELANGER LAP TIME,Geneve BELANGER ELAPSED TIME,PROSVIRNOVA Sofia POSITION,PROSVIRNOVA Sofia LAP TIME,PROSVIRNOVA Sofia ELAPSED TIME
1,14.10,14.10,3,14.35,14.35,4,14.47,14.47,5,14.58,14.58,2,14.23,14.23
1,10.94,25.04,3,10.88,25.23,4,10.91,25.38,5,10.90,25.48,2,10.94,25.17
1,10.69,35.73,3,10.68,35.91,5,10.64,36.02,4,10.53,36.01,2,10.66,35.83
1,9.97,45.70,4,10.07,45.98,5,10.07,46.09,3,9.93,45.94,2,9.89,45.72
2,9.95,55.65,5,9.98,55.96,4,9.77,55.86,3,9.81,55.75,1,9.83,55.55
2,10.13,1:05.78,5,10.44,1:06.40,4,10.17,1:06.03,3,10.15,1:05.90,1,10.21,1:05.76
1,9.48,1:15.26,5,11.17,1:17.57,4,9.62,1:15.65,3,9.56,1:15.46,2,9.58,1:15.34
1,9.56,1:24.82,5,11.77,1:29.34,4,9.53,1:25.18,3,9.59,1:25.05,2,9.57,1:24.91
1,9.55,1:34.364,5,12.27,1:41.604,4,9.46,1:34.634,3,9.51,1:34.551,2,9.55,1:34.457
