DUBOIS Steven POSITION,DUBOIS Steven LAP TIME,DUBOIS Steven ELAPSED TIME,MIGUNOV Dmitry POSITION,MIGUNOV Dmitry LAP TIME,MIGUNOV Dmitry ELAPSED TIME,Melle van 'T WOUT POSITION,Melle van 'T WOUT LAP TIME,Melle van 'T WOUT ELAPSED TIME,Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME,JIA Haidong POSITION,JIA Haidong LAP TIME,JIA Haidong ELAPSED TIME,CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME
1,6.64,6.64,2,6.79,6.79,4,7.31,7.31,5,7.43,7.43,3,7.00,7.00,6,7.44,7.44
1,8.70,15.34,2,8.67,15.46,4,8.72,16.03,5,8.76,16.19,3,8.65,15.65,6,9.09,16.53
1,8.21,23.55,2,8.17,23.63,4,8.11,24.14,5,8.08,24.27,3,8.21,23.86,6,8.23,24.76
1,8.38,31.93,2,8.34,31.97,4,8.21,32.35,5,8.27,32.54,3,8.32,32.18,6,8.29,33.05
2,8.66,40.59,1,8.61,40.58,4,8.48,40.831,5,8.51,41.054,3,8.58,40.76,6,8.61,41.662
