Gabriel VOLET POSITION,Gabriel VOLET LAP TIME,Gabriel VOLET ELAPSED TIME,Aleksandr ZHERMANOV POSITION,Aleksandr ZHERMANOV LAP TIME,Aleksandr ZHERMANOV ELAPSED TIME,Denys IOFIN POSITION,Denys IOFIN LAP TIME,Denys IOFIN ELAPSED TIME,Trevor Xu Xuan TAN POSITION,Trevor Xu Xuan TAN LAP TIME,Trevor Xu Xuan TAN ELAPSED TIME,NIEWINSKI Michal POSITION,NIEWINSKI Michal LAP TIME,NIEWINSKI Michal ELAPSED TIME,JUSTICE Ryan POSITION,JUSTICE Ryan LAP TIME,JUSTICE Ryan ELAPSED TIME
3,8.37,8.37,1,8.09,8.09,2,8.22,8.22,5,8.58,,4,8.48,8.48,6,8.62,8.62
3,10.39,18.76,1,10.44,18.53,2,10.40,18.62,5,10.41,,4,10.38,18.86,6,10.46,19.08
3,9.84,28.60,1,9.82,28.35,2,9.81,28.43,5,9.82,,4,9.83,28.69,6,9.83,28.91
3,9.58,38.18,1,9.58,37.93,2,9.58,38.01,5,9.58,,4,9.59,38.28,6,9.65,38.56
3,9.65,47.83,1,9.66,47.59,2,9.66,47.67,5,9.63,,4,9.64,47.92,6,9.59,48.15
3,9.66,57.49,1,9.67,57.26,2,9.70,57.37,5,9.71,,4,9.70,57.62,6,9.75,57.90
2,9.48,1:06.97,1,9.62,1:06.88,3,9.63,1:07.00,5,9.47,,4,9.49,1:07.11,6,10.03,1:07.93
1,9.56,1:16.53,2,9.67,1:16.55,4,9.84,1:16.84,5,9.66,,3,9.56,1:16.67,6,10.45,1:18.38
1,9.41,1:25.94,3,9.68,1:26.23,5,10.30,1:27.14,4,9.70,,2,9.40,1:26.07,6,10.77,1:29.15
1,9.41,1:35.35,4,9.70,1:35.93,5,10.39,1:37.53,3,9.34,,2,9.41,1:35.48,6,11.20,1:40.35
1,9.47,1:44.82,4,10.00,1:45.93,5,10.98,1:48.51,3,9.34,,2,9.51,1:44.99,6,11.49,1:51.84
1,9.50,1:54.32,4,10.44,1:56.37,5,11.28,1:59.79,3,9.54,,2,9.69,1:54.68,6,12.21,2:04.05
1,9.69,2:04.01,4,10.99,2:07.36,5,11.64,2:11.43,2,9.71,,3,10.02,2:04.70,6,12.24,2:16.29
1,9.83,2:13.842,3,10.99,2:18.357,4,11.80,2:23.238,2,9.84,,2,10.26,2:14.969,5,11.65,2:27.945
