Maksim SIARHEYU POSITION,Maksim SIARHEYU LAP TIME,Maksim SIARHEYU ELAPSED TIME,Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,Daniel ZETZSCHE POSITION,Daniel ZETZSCHE LAP TIME,Daniel ZETZSCHE ELAPSED TIME,Muhammet KARADENIZ POSITION,Muhammet KARADENIZ LAP TIME,Muhammet KARADENIZ ELAPSED TIME,NIESCIER Karol POSITION,NIESCIER Karol LAP TIME,NIESCIER Karol ELAPSED TIME
3,10.22,,4,10.42,10.42,5,10.58,10.58,1,10.03,10.03,6,10.76,10.76,2,10.08,10.08
4,14.31,,5,14.28,24.70,6,14.23,24.81,1,14.13,24.16,2,13.50,24.26,3,14.30,24.38
6,12.41,,2,11.88,36.58,4,11.87,36.68,1,12.34,36.50,3,12.37,36.63,5,12.38,36.76
4,10.92,,2,11.00,47.58,1,10.77,47.45,3,11.22,47.72,5,11.24,47.87,6,11.19,47.95
4,10.95,,3,11.12,58.70,1,11.05,58.50,2,10.87,58.59,5,11.08,58.95,6,11.16,59.11
4,10.55,,3,10.49,1:09.19,1,10.52,1:09.02,2,10.56,1:09.15,5,10.60,1:09.55,6,10.55,1:09.66
4,9.78,,2,9.75,1:18.94,1,9.81,1:18.83,3,9.91,1:19.06,5,9.82,1:19.37,6,9.75,1:19.41
4,9.94,,2,9.91,1:28.85,1,9.91,1:28.74,3,9.90,1:28.96,5,9.88,1:29.25,6,10.00,1:29.41
3,9.69,,2,9.81,1:38.66,1,9.82,1:38.56,3,9.81,1:38.77,5,9.81,1:39.06,6,9.81,1:39.22
3,9.69,,2,9.79,1:48.45,1,9.78,1:48.34,4,9.85,1:48.62,5,9.74,1:48.80,6,9.72,1:48.94
2,9.47,,6,10.55,1:59.00,1,9.42,1:57.76,3,9.46,1:58.08,4,9.79,1:58.59,5,9.76,1:58.70
2,9.26,,4,9.52,2:08.52,1,9.31,2:07.07,3,9.24,2:07.32,6,10.35,2:08.94,5,10.11,2:08.81
2,9.29,,4,9.35,2:17.87,1,9.30,2:16.37,3,9.29,2:16.61,5,10.72,2:19.66,6,11.50,2:20.31
2,9.35,,4,9.93,2:27.80,1,9.39,2:25.76,3,9.59,2:26.20,4,11.41,2:31.037,5,11.96,2:32.247
