Francesca JACKSON POSITION,Francesca JACKSON LAP TIME,Francesca JACKSON ELAPSED TIME,Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME,CHOI Eun-Kyung POSITION,CHOI Eun-Kyung LAP TIME,CHOI Eun-Kyung ELAPSED TIME
2,17.377,17.377,1,17.333,17.333,3,17.621,17.621
1,11.536,28.912,2,11.809,29.142,3,11.810,29.430
1,11.685,40.597,2,11.560,40.701,3,11.471,40.901
2,11.539,52.135,1,11.430,52.131,3,11.570,52.471
2,11.708,1:03.842,1,11.534,1:03.665,3,11.528,1:03.998
3,11.555,1:15.397,1,11.137,1:14.801,2,10.886,1:14.884
3,11.426,1:26.822,1,10.576,1:25.377,2,10.552,1:25.436
3,11.835,1:38.656,2,10.899,1:36.275,1,10.739,1:36.174
3,12.49,1:51.140,2,10.58,1:46.853,1,10.62,1:46.785
