BLACKBURN Mackenzie POSITION,BLACKBURN Mackenzie LAP TIME,BLACKBURN Mackenzie ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME
4,7.27,7.27,1,6.93,6.93,3,7.24,7.24,2,6.97,6.97
4,9.62,16.89,2,9.36,16.30,3,9.56,16.81,1,9.29,16.26
3,8.29,25.19,1,8.65,24.95,4,8.99,25.80,2,8.69,24.95
3,9.53,34.72,2,8.67,33.63,4,9.31,35.12,1,8.62,33.57
3,9.46,44.178,1,8.88,42.504,4,9.59,44.703,2,9.11,42.676
