PARK Seung-Hi POSITION,PARK Seung-Hi LAP TIME,PARK Seung-Hi ELAPSED TIME,Magdalena SZWAJLIK POSITION,Magdalena SZWAJLIK LAP TIME,Magdalena SZWAJLIK ELAPSED TIME,Yasuko SAKASHITA POSITION,Yasuko SAKASHITA LAP TIME,Yasuko SAKASHITA ELAPSED TIME,ZHANG Hui POSITION,ZHANG Hui LAP TIME,ZHANG Hui ELAPSED TIME
1,13.73,13.73,4,14.13,14.13,2,13.89,13.89,3,14.00,14.00
3,11.09,24.82,4,10.82,24.95,2,10.80,24.69,1,10.59,24.59
3,10.61,35.43,4,10.62,35.57,2,10.57,35.26,1,10.54,35.13
3,10.84,46.27,4,10.82,46.39,2,10.86,46.12,1,10.84,45.97
2,10.35,56.62,4,10.45,56.84,3,10.53,56.65,1,10.57,56.54
1,9.58,1:06.20,4,10.12,1:06.96,3,10.08,1:06.73,2,9.98,1:06.52
1,9.66,1:15.86,4,10.22,1:17.18,3,9.93,1:16.66,2,9.78,1:16.30
1,9.66,1:25.52,4,10.54,1:27.72,3,9.92,1:26.58,2,9.71,1:26.01
1,9.88,1:35.399,4,11.00,1:38.711,3,10.08,1:36.658,2,10.01,1:36.020
