Andras SZIKLASI POSITION,Andras SZIKLASI LAP TIME,Andras SZIKLASI ELAPSED TIME,Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME,KUCZYNSKI Lukasz POSITION,KUCZYNSKI Lukasz LAP TIME,KUCZYNSKI Lukasz ELAPSED TIME,Luca LOEFFLER POSITION,Luca LOEFFLER LAP TIME,Luca LOEFFLER ELAPSED TIME,WILCZYK Szymon POSITION,WILCZYK Szymon LAP TIME,WILCZYK Szymon ELAPSED TIME
2,7.14,7.14,1,6.96,6.96,3,7.22,7.22,4,7.57,7.57,5,7.60,7.60
2,9.06,16.20,1,9.08,16.04,3,9.08,16.30,5,9.35,16.92,4,9.21,16.81
2,8.51,24.71,1,8.65,24.69,3,8.54,24.84,5,8.79,25.71,4,8.54,25.35
3,9.06,33.77,1,8.85,33.54,2,8.92,33.76,5,8.88,34.59,4,8.62,33.97
3,9.13,42.905,1,8.96,42.50,2,9.01,42.77,5,9.09,43.682,4,8.99,42.965
