YANG Shin-Young POSITION,YANG Shin-Young LAP TIME,YANG Shin-Young ELAPSED TIME,MENG Xiaoxue POSITION,MENG Xiaoxue LAP TIME,MENG Xiaoxue ELAPSED TIME,Anne MALTAIS POSITION,Anne MALTAIS LAP TIME,Anne MALTAIS ELAPSED TIME,Andrea KESZLER POSITION,Andrea KESZLER LAP TIME,Andrea KESZLER ELAPSED TIME
2,7.62,7.62,4,10.16,10.16,1,7.57,7.57,3,7.69,7.69
3,9.79,17.42,4,7.29,17.46,1,9.45,17.03,2,9.60,17.30
3,9.15,26.58,4,9.45,26.91,1,9.16,26.19,2,9.16,26.46
3,9.21,35.80,1,8.17,35.08,4,10.35,36.55,2,9.31,35.77
4,9.82,45.620,1,10.00,45.071,2,8.63,45.171,3,9.54,45.309
