Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME,NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME
2,12.60,12.60,3,12.69,12.69,4,12.79,12.79,1,12.44,12.44,5,12.91,12.91
1,9.34,21.94,4,9.55,22.24,3,9.34,22.13,2,9.58,22.02,5,9.42,22.33
1,9.29,31.23,3,9.11,31.35,2,9.17,31.30,4,9.35,31.37,5,9.20,31.53
2,9.06,40.29,1,8.76,40.11,4,9.19,40.49,5,9.25,40.62,3,8.84,40.37
1,8.71,49.00,2,8.90,49.01,4,8.77,49.26,5,8.76,49.38,3,8.80,49.17
1,8.75,57.75,4,8.90,57.91,3,8.58,57.84,5,8.67,58.05,2,8.66,57.83
1,8.86,1:06.61,4,9.10,1:07.01,2,9.00,1:06.84,3,8.92,1:06.97,5,9.42,1:07.25
1,8.94,1:15.55,4,8.99,1:16.00,2,8.95,1:15.79,2,8.82,1:15.79,5,9.14,1:16.39
1,9.15,1:24.70,4,9.00,1:25.004,3,9.09,1:24.889,2,8.96,1:24.75,5,9.60,1:25.995
