Veronika WINDISCH POSITION,Veronika WINDISCH LAP TIME,Veronika WINDISCH ELAPSED TIME,Valerie LAMBERT POSITION,Valerie LAMBERT LAP TIME,Valerie LAMBERT ELAPSED TIME,Julia RIEDEL POSITION,Julia RIEDEL LAP TIME,Julia RIEDEL ELAPSED TIME,Tania VICENT POSITION,Tania VICENT LAP TIME,Tania VICENT ELAPSED TIME,Yuka KAMINO POSITION,Yuka KAMINO LAP TIME,Yuka KAMINO ELAPSED TIME,Katalin KRISTO POSITION,Katalin KRISTO LAP TIME,Katalin KRISTO ELAPSED TIME
1,9.387,9.387,2,9.492,9.492,4,9.717,9.717,3,9.494,9.494,6,9.895,9.895,5,9.886,9.886
1,14.183,23.570,2,14.238,23.730,4,14.141,23.858,3,14.237,23.731,6,14.355,24.250,5,14.324,24.210
1,13.713,37.283,3,13.766,37.496,4,13.752,37.610,2,13.683,37.413,6,13.510,37.759,5,13.443,37.654
5,12.113,49.395,2,11.819,49.315,6,11.859,49.469,3,11.922,49.335,1,11.470,49.229,4,11.698,49.352
5,10.678,1:00.074,3,10.558,59.873,1,10.136,59.604,2,10.277,59.613,4,10.741,59.970,6,10.824,1:00.176
5,9.869,1:09.942,4,10.002,1:09.874,2,9.981,1:09.585,1,9.957,1:09.569,3,9.874,1:09.845,6,9.943,1:10.118
5,10.523,1:20.465,4,10.541,1:20.415,2,10.512,1:20.097,1,10.470,1:20.039,3,10.568,1:20.412,6,10.434,1:20.552
5,10.792,1:31.258,4,10.795,1:31.210,2,10.802,1:30.898,1,10.784,1:30.824,3,10.748,1:31.161,6,10.844,1:31.396
2,10.053,1:41.311,3,10.144,1:41.354,4,10.520,1:41.418,1,10.308,1:41.132,6,10.402,1:41.563,5,10.085,1:41.480
3,10.265,1:51.576,2,10.175,1:51.529,4,10.404,1:51.823,1,10.162,1:51.294,5,10.396,1:51.959,6,10.561,1:52.041
3,10.096,2:01.672,2,10.138,2:01.667,6,10.674,2:02.497,1,10.120,2:01.414,4,9.941,2:01.900,5,10.111,2:02.152
2,10.314,2:11.986,3,10.368,2:12.035,6,10.678,2:13.175,1,10.301,2:11.715,4,10.195,2:12.095,5,10.838,2:12.990
2,10.305,2:22.291,3,10.296,2:22.331,6,10.926,2:24.101,1,10.382,2:22.097,4,10.241,2:22.336,5,10.802,2:23.791
2,10.405,2:32.696,3,10.409,2:32.740,6,11.307,2:35.407,1,10.310,2:32.407,4,10.497,2:32.833,5,11.211,2:35.002
