Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Mykyta SOKOLOV POSITION,Mykyta SOKOLOV LAP TIME,Mykyta SOKOLOV ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,Daniel ZETZSCHE POSITION,Daniel ZETZSCHE LAP TIME,Daniel ZETZSCHE ELAPSED TIME
5,8.84,8.84,3,8.54,8.54,2,8.41,8.41,4,8.69,8.69,1,8.36,8.36
5,11.90,20.74,3,11.95,20.49,2,11.96,20.37,4,11.94,20.63,1,11.93,20.29
5,11.52,32.26,3,11.48,31.97,2,11.41,31.78,4,11.50,32.13,1,11.39,31.68
5,10.78,43.04,3,10.82,42.79,2,10.93,42.71,4,10.77,42.90,1,10.96,42.64
5,10.51,53.55,4,10.62,53.41,3,10.57,53.28,1,10.00,52.90,2,10.48,53.12
4,9.90,1:03.45,1,9.52,1:02.93,5,10.24,1:03.52,2,10.22,1:03.12,3,10.16,1:03.28
4,9.44,1:12.89,1,9.63,1:12.56,5,9.48,1:13.00,3,9.56,1:12.68,2,9.40,1:12.68
2,9.55,1:22.44,1,9.47,1:22.03,3,9.66,1:22.66,5,26.76,1:39.44,4,21.47,1:34.15
2,9.30,1:31.74,1,9.13,1:31.16,3,9.61,1:32.27,5,15.14,1:54.58,4,12.14,1:46.29
2,8.87,1:40.61,1,9.08,1:40.24,3,9.76,1:42.03,5,10.60,2:05.18,4,12.12,1:58.41
2,9.02,1:49.63,1,9.19,1:49.43,3,10.21,1:52.24,5,9.80,2:14.98,4,12.46,2:10.87
2,9.41,1:59.04,1,9.39,1:58.82,3,10.48,2:02.72,5,9.52,2:24.50,4,11.92,2:22.79
2,9.55,2:08.59,1,9.73,2:08.55,3,10.72,2:13.44,4,9.55,2:34.05,5,11.39,2:34.18
1,9.30,2:17.884,2,9.58,2:18.123,3,10.84,2:24.274,0,,PEN,4,11.38,2:45.552
