de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME,Jeremy MASSON POSITION,Jeremy MASSON LAP TIME,Jeremy MASSON ELAPSED TIME,Daisuke UEMURA POSITION,Daisuke UEMURA LAP TIME,Daisuke UEMURA ELAPSED TIME,Anthony DOUGLAS POSITION,Anthony DOUGLAS LAP TIME,Anthony DOUGLAS ELAPSED TIME
2,8.15,8.15,1,8.05,8.05,3,8.27,8.27,4,8.39,8.39
2,12.18,20.33,1,12.17,20.22,3,12.17,20.44,4,12.20,20.59
2,12.56,32.89,1,12.58,32.80,3,12.54,32.98,4,12.56,33.15
3,12.69,45.58,2,12.67,45.47,1,12.39,45.37,4,12.57,45.72
4,11.40,56.98,3,11.32,56.79,2,11.39,56.76,1,10.92,56.64
4,10.41,1:07.39,3,10.47,1:07.26,2,10.39,1:07.15,1,10.45,1:07.09
4,10.70,1:18.09,3,10.72,1:17.98,2,10.71,1:17.86,1,10.67,1:17.76
4,10.71,1:28.80,3,10.72,1:28.70,1,10.66,1:28.52,2,10.84,1:28.60
4,9.98,1:38.78,3,9.99,1:38.69,1,9.96,1:38.48,2,9.99,1:38.59
4,9.63,1:48.41,2,9.56,1:48.25,1,9.66,1:48.14,3,9.76,1:48.35
4,9.40,1:57.81,2,9.36,1:57.61,1,9.35,1:57.49,3,9.37,1:57.72
4,9.08,2:06.89,2,9.06,2:06.67,1,9.06,2:06.55,3,9.04,2:06.76
3,9.05,2:15.94,2,9.07,2:15.74,1,9.05,2:15.60,4,9.20,2:15.96
3,9.15,2:25.085,2,9.31,2:25.043,1,9.36,2:24.957,4,9.98,2:25.939
