Rafal GRYCNER POSITION,Rafal GRYCNER LAP TIME,Rafal GRYCNER ELAPSED TIME,Yuma SAKURAI POSITION,Yuma SAKURAI LAP TIME,Yuma SAKURAI ELAPSED TIME,Alex VARNYU POSITION,Alex VARNYU LAP TIME,Alex VARNYU ELAPSED TIME,GEORGIEV Dimitar POSITION,GEORGIEV Dimitar LAP TIME,GEORGIEV Dimitar ELAPSED TIME,Thibault CROLET POSITION,Thibault CROLET LAP TIME,Thibault CROLET ELAPSED TIME,Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME
1,9.58,9.58,2,9.74,9.74,5,10.21,10.21,3,9.89,9.89,4,10.03,10.03,6,10.36,10.36
1,13.95,23.53,2,13.95,23.69,5,13.90,24.11,3,13.93,23.82,4,13.82,23.85,6,13.99,24.35
2,12.00,35.53,1,11.82,35.51,5,11.83,35.94,4,11.98,35.80,3,11.79,35.64,6,11.79,36.14
3,10.76,46.29,1,10.63,46.14,5,10.62,46.56,4,10.60,46.40,2,10.56,46.20,6,10.52,46.66
3,10.67,56.96,1,10.58,56.72,5,10.64,57.20,4,10.67,57.07,2,10.62,56.82,6,10.68,57.34
4,10.49,1:07.45,1,10.45,1:07.17,5,10.36,1:07.56,3,10.26,1:07.33,2,10.43,1:07.25,6,10.31,1:07.65
4,10.27,1:17.72,1,10.19,1:17.36,5,10.31,1:17.87,3,10.24,1:17.57,2,10.18,1:17.43,6,10.36,1:18.01
4,9.67,1:27.39,1,9.79,1:27.15,5,9.62,1:27.49,3,9.78,1:27.35,2,9.82,1:27.25,6,9.60,1:27.61
6,9.82,1:37.21,1,9.59,1:36.74,4,9.59,1:37.08,3,9.58,1:36.93,2,9.58,1:36.83,5,9.57,1:37.18
6,9.39,1:46.60,1,9.23,1:45.97,5,9.34,1:46.42,4,9.40,1:46.33,3,9.25,1:46.08,2,8.83,1:46.01
6,9.26,1:55.86,2,8.93,1:54.90,5,9.14,1:55.56,4,9.14,1:55.47,3,8.96,1:55.04,1,8.50,1:54.51
6,9.33,2:05.19,2,8.99,2:03.89,4,9.11,2:04.67,5,9.20,2:04.67,3,8.87,2:03.91,1,8.74,2:03.25
6,9.64,2:14.83,2,9.30,2:13.19,4,9.32,2:13.99,5,9.54,2:14.21,3,9.52,2:13.43,1,9.15,2:12.40
6,10.16,2:24.984,2,9.50,2:22.683,4,9.66,2:23.643,5,9.84,2:24.050,3,9.62,2:23.045,1,9.89,2:22.282
