BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Jeremy MASSON POSITION,Jeremy MASSON LAP TIME,Jeremy MASSON ELAPSED TIME,Andriy KOZHUKH POSITION,Andriy KOZHUKH LAP TIME,Andriy KOZHUKH ELAPSED TIME
2,13.305,13.305,4,13.626,13.626,1,13.189,13.189,3,13.538,13.538
3,10.113,23.419,4,9.866,23.492,1,10.019,23.208,2,9.863,23.402
2,9.991,33.409,3,10.086,33.578,1,10.021,33.229,4,10.238,33.639
2,10.023,43.432,3,9.936,43.514,1,10.026,43.255,4,9.948,43.587
2,9.729,53.161,3,10.024,53.538,1,9.873,53.128,4,10.001,53.588
1,9.575,1:02.736,3,9.725,1:03.264,2,9.831,1:02.959,4,9.828,1:03.416
1,9.722,1:12.458,3,9.551,1:12.814,2,9.741,1:12.700,4,10.334,1:13.750
1,9.781,1:22.239,3,9.763,1:22.578,2,9.762,1:22.462,4,10.899,1:24.649
2,10.072,1:32.311,1,9.565,1:32.142,3,10.005,1:32.467,4,11.650,1:36.300
