Olga BELYAKOVA POSITION,Olga BELYAKOVA LAP TIME,Olga BELYAKOVA ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Alyson DUDEK POSITION,Alyson DUDEK LAP TIME,Alyson DUDEK ELAPSED TIME,Lana GEHRING POSITION,Lana GEHRING LAP TIME,Lana GEHRING ELAPSED TIME,SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME,ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME,Tina GRASSOW POSITION,Tina GRASSOW LAP TIME,Tina GRASSOW ELAPSED TIME
2,8.35,8.35,1,8.25,8.25,3,8.53,8.53,4,8.71,8.71,6,9.19,9.19,5,8.98,8.98,7,9.35,9.35
1,11.10,19.45,2,11.35,19.60,4,11.17,19.70,5,11.14,19.85,3,10.44,19.63,6,11.05,20.03,7,10.81,20.16
7,19.39,38.84,1,10.04,29.64,3,10.24,29.94,4,10.24,30.09,2,10.14,29.77,5,10.25,30.28,6,10.25,30.41
7,15.91,54.75,1,10.33,39.97,3,10.24,40.18,4,10.21,40.30,2,10.31,40.08,5,10.18,40.46,6,10.12,40.53
7,13.54,1:08.29,1,10.72,50.69,3,10.74,50.92,4,10.72,51.02,2,10.73,50.81,6,10.90,51.36,5,10.66,51.19
7,13.41,1:21.70,1,10.87,1:01.56,3,10.91,1:01.83,5,10.93,1:01.95,2,10.89,1:01.70,4,10.58,1:01.94,6,10.83,1:02.02
7,13.33,1:35.03,2,10.44,1:12.00,3,10.20,1:12.03,4,10.28,1:12.23,1,10.14,1:11.84,5,10.33,1:12.27,6,10.37,1:12.39
7,12.94,1:47.97,2,10.01,1:22.01,3,10.16,1:22.19,5,10.28,1:22.51,1,10.04,1:21.88,4,10.14,1:22.41,6,10.12,1:22.51
7,13.35,2:01.32,2,10.02,1:32.03,3,9.97,1:32.16,6,10.31,1:32.82,1,9.97,1:31.85,4,10.00,1:32.41,5,10.06,1:32.57
7,13.96,2:15.28,2,10.01,1:42.04,3,10.00,1:42.16,6,10.43,1:43.25,1,10.06,1:41.91,4,9.77,1:42.18,5,10.06,1:42.63
7,13.27,2:28.55,3,9.83,1:51.87,4,9.97,1:52.13,6,10.80,1:54.05,1,9.75,1:51.66,2,9.67,1:51.85,5,10.59,1:53.22
7,12.85,2:41.40,3,9.92,2:01.79,4,10.24,2:02.37,6,11.23,2:05.28,1,9.77,2:01.43,2,9.85,2:01.70,5,10.96,2:04.18
7,12.23,2:53.63,3,10.00,2:11.79,4,10.56,2:12.93,6,11.57,2:16.85,1,9.95,2:11.38,2,9.96,2:11.66,5,11.23,2:15.41
7,12.48,3:06.108,3,10.26,2:22.043,4,11.00,2:23.928,6,11.87,2:28.718,1,10.02,2:21.398,2,10.15,2:21.802,5,11.55,2:26.954
