PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Yulia SHISHKINA POSITION,Yulia SHISHKINA LAP TIME,Yulia SHISHKINA ELAPSED TIME,Erika LINDGREN POSITION,Erika LINDGREN LAP TIME,Erika LINDGREN ELAPSED TIME
2,7.55,7.55,4,7.81,,1,7.32,7.32,2,7.55,,5,7.96,7.96
3,9.93,17.48,4,9.68,,1,9.21,16.53,2,9.49,,5,9.67,17.63
3,9.08,26.56,4,9.26,,1,8.77,25.30,2,9.03,,5,9.14,26.77
3,9.11,35.67,5,9.36,,1,9.00,34.30,2,9.26,,4,9.23,36.00
3,9.25,44.92,4,9.83,,1,9.17,43.47,2,9.53,,5,29.12,1:05.12
